File,Line,Severity,Type,Message,Rule,Creation Date
ki2pixel_trading_automation:backtest_engine/optimizer.py,557,CRITICAL,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 72 to the 15 allowed.,python:S3776,2026-06-01T10:21:21+0000
ki2pixel_trading_automation:backtest_engine/web.py,231,CRITICAL,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 20 to the 15 allowed.,python:S3776,2026-06-01T10:21:21+0000
ki2pixel_trading_automation:backtest_engine/web.py,419,CRITICAL,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 422 to the 15 allowed.,python:S3776,2026-06-01T10:21:21+0000
ki2pixel_trading_automation:backtest_engine/bayesian_optimizer.py,813,CRITICAL,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 518 to the 15 allowed.,python:S3776,2026-05-31T11:41:25+0000
ki2pixel_trading_automation:backtest_engine/bayesian_optimizer.py,1118,MINOR,CODE_SMELL,Remove this redundant call.,python:S7508,2026-05-31T11:41:25+0000
ki2pixel_trading_automation:backtest_engine/strategies/hma_crossover.py,283,CRITICAL,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 108 to the 15 allowed.,python:S3776,2026-05-31T11:41:25+0000
ki2pixel_trading_automation:backtest_engine/strategies/pmax_explorer.py,415,CRITICAL,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 105 to the 15 allowed.,python:S3776,2026-05-31T11:41:25+0000
ki2pixel_trading_automation:pine_scripts_convert_to_python/strategy/PMax-Explorer-STRATEGY-SCREENER.py,219,CRITICAL,CODE_SMELL,Refactor this function to reduce its Cognitive Complexity from 19 to the 15 allowed.,python:S3776,2026-05-31T11:41:25+0000
ki2pixel_trading_automation:pine_scripts_convert_to_python/strategy/PMax-Explorer-STRATEGY-SCREENER.py,276,MINOR,CODE_SMELL,"Rename this local variable ""zxEMAData"" to match the regular expression ^[_a-z][a-z0-9_]*$.",python:S117,2026-05-31T11:41:25+0000
ki2pixel_trading_automation:backtest_engine/__main__.py,178,BLOCKER,CODE_SMELL,Refactor this method to not always return the same value.,python:S3516,2026-05-30T23:20:58+0000
ki2pixel_trading_automation:backtest_engine/__main__.py,334,MAJOR,CODE_SMELL,Add replacement fields or use a normal string instead of an f-string.,python:S3457,2026-05-30T23:20:58+0000
ki2pixel_trading_automation:backtest_engine/__main__.py,338,MAJOR,CODE_SMELL,Add replacement fields or use a normal string instead of an f-string.,python:S3457,2026-05-30T23:20:58+0000
ki2pixel_trading_automation:backtest_engine/__main__.py,340,MAJOR,CODE_SMELL,"Use ""logging.exception()"" instead.",python:S8572,2026-05-30T23:20:58+0000
ki2pixel_trading_automation:backtest_engine/__main__.py,405,CRITICAL,CODE_SMELL,"Define a constant instead of duplicating this literal ""storage/processed"" 5 times.",python:S1192,2026-05-30T23:20:58+0000
