PARAMETERS,STATUS,SCORE,NETPROFITAMOUNT,NETPROFITPERCENT,MAXDRAWDOWNAMOUNT,MAXDRAWDOWNPERCENT,CLOSEDTRADES,PERCENTPROFITABLE,PROFITFACTOR,AVERAGETRADEAMOUNT,AVERAGETRADEPERCENT,AVGERAGEBARSINTRADES,SHARPERATIO,SORTINORATIO,EXPOSUREPERCENT,RETURNVSBUYHOLDPCTPOINTS,LOOKBACK DAYS,VOLATILITY MULTIPLIER ENTER,VOLATILITY MULTIPLIER EXIT,TARGET DAILY VOLATILITY,EXIT MODE,STOPLOSS LADDER STEP0,STOPLOSS LADDER STEP1,STOPLOSS LADDER RATIO0,TAKEPROFIT LADDER STEP0,ITERATION,SKIPREASON
"20, 2, 1.2, 0.01, time_only, -0.008, -0.028, 0.5, 0.012",COMPLETED,1.2701,+94.79,+9.48%,29.39,2.69%,4,75.00%,9.859,+23.70,+2.37%,36.00,1.270,0.198,0.74%,+35.75,20,2,1.2,0.01,time_only,-0.008,-0.028,0.5,0.012,1,
"6, 2.4, 1.92, 0.018, combined, -0.009, -0.013, 0.8, 0.01",COMPLETED,-2.1566,-290.37,-29.04%,290.37,29.04%,7,0.00%,0.000,-41.48,-4.15%,15.00,-2.157,-0.171,0.54%,-2.76,6,2.4,1.92,0.018,combined,-0.009,-0.013,0.8,0.01,2,
"16, 0.9, 0.63, 0.009, time_only, -0.017, -0.028, 0.5, 0.025",COMPLETED,0.1915,+8.86,+0.89%,269.49,21.19%,67,58.21%,1.011,+0.13,+0.01%,41.87,0.192,0.096,14.37%,+27.16,16,0.9,0.63,0.009,time_only,-0.017,-0.028,0.5,0.025,3,
"20, 1, 0.4, 0.007, ladder, -0.011, -0.012, 0.3, 0.007",COMPLETED,-0.3280,-88.12,-8.81%,251.85,22.05%,58,53.45%,0.835,-1.52,-0.15%,34.64,-0.328,-0.133,10.23%,+17.46,20,1,0.4,0.007,ladder,-0.011,-0.012,0.3,0.007,4,
"5, 2.2, 1.76, 0.019, vwap, -0.012, -0.022, 0.5, 0.009",COMPLETED,0.5102,+132.94,+13.29%,243.33,23.12%,20,50.00%,1.315,+6.65,+0.66%,25.75,0.510,0.103,2.64%,+39.57,5,2.2,1.76,0.019,vwap,-0.012,-0.022,0.5,0.009,5,
"20, 3, 0.3, 0.019, combined, -0.006, -0.024, 0.4, 0.012",SKIPPED_MIN_TRADES,,,,,,0,,,,,,,,,,20,3,0.3,0.019,combined,-0.006,-0.024,0.4,0.012,6,closed_trades 0 < min_closed_trades 1
"8, 2.6, 1.82, 0.017, vwap, -0.014, -0.025, 0.1, 0.026",COMPLETED,-0.9343,-63.65,-6.37%,76.13,7.55%,2,0.00%,0.000,-31.83,-3.18%,4.00,-0.934,-0.021,0.04%,+19.91,8,2.6,1.82,0.017,vwap,-0.014,-0.025,0.1,0.026,7,
"14, 2.3, 0.69, 0.006, time_only, -0.007, -0.009, 0.3, 0.013",COMPLETED,0.2020,+5.14,+0.51%,24.77,2.42%,2,50.00%,1.578,+2.57,+0.26%,16.50,0.202,0.015,0.17%,+26.79,14,2.3,0.69,0.006,time_only,-0.007,-0.009,0.3,0.013,8,
"8, 2.3, 0.46, 0.016, ladder, -0.008, -0.018, 0.5, 0.016",COMPLETED,-0.7760,-127.85,-12.79%,195.11,19.00%,7,42.86%,0.341,-18.26,-1.83%,29.14,-0.776,-0.108,1.01%,+13.49,8,2.3,0.46,0.016,ladder,-0.008,-0.018,0.5,0.016,9,
"13, 0.5, 0.45, 0.013, time_only, -0.018, -0.03, 0.3, 0.007",COMPLETED,-0.3636,-492.74,-49.27%,738.69,73.13%,171,54.97%,0.814,-2.88,-0.29%,52.13,-0.364,-0.305,45.66%,-23.00,13,0.5,0.45,0.013,time_only,-0.018,-0.03,0.3,0.007,10,
"28, 1.6, 0.8, 0.011, time_only, -0.004, -0.024, 0.8, 0.021",COMPLETED,0.3550,+29.85,+2.98%,113.47,10.55%,7,57.14%,1.253,+4.26,+0.43%,42.00,0.355,0.066,1.51%,+29.26,28,1.6,0.8,0.011,time_only,-0.004,-0.024,0.8,0.021,11,
"24, 1.8, 1.08, 0.012, vwap, -0.002, -0.009, 0.7, 0.005",COMPLETED,0.3549,+22.49,+2.25%,83.51,7.94%,6,66.67%,1.327,+3.75,+0.37%,28.00,0.355,0.050,0.86%,+28.52,24,1.8,1.08,0.012,vwap,-0.002,-0.009,0.7,0.005,12,
"25, 1.8, 1.62, 0.014, vwap, -0.013, -0.029, 0.6, 0.017",COMPLETED,0.7184,+70.78,+7.08%,93.84,8.55%,6,50.00%,1.768,+11.80,+1.18%,25.33,0.718,0.109,0.78%,+33.35,25,1.8,1.62,0.014,vwap,-0.013,-0.029,0.6,0.017,13,
"30, 1.7, 1.53, 0.014, vwap, -0.014, -0.03, 0.7, 0.019",COMPLETED,1.6243,+117.46,+11.75%,45.22,4.24%,5,80.00%,6.799,+23.49,+2.35%,28.00,1.624,0.247,0.72%,+38.02,30,1.7,1.53,0.014,vwap,-0.014,-0.03,0.7,0.019,14,
"30, 1.5, 0.75, 0.009, time_only, -0.02, -0.03, 0.9, 0.019",COMPLETED,-0.5271,-58.56,-5.86%,191.05,18.00%,8,50.00%,0.712,-7.32,-0.73%,47.00,-0.527,-0.104,1.93%,+20.42,30,1.5,0.75,0.009,time_only,-0.02,-0.03,0.9,0.019,15,
"25, 1.3, 0.78, 0.015, vwap, -0.015, -0.03, 0.7, 0.03",COMPLETED,0.5455,+102.57,+10.26%,261.25,22.22%,22,45.45%,1.251,+4.66,+0.47%,23.59,0.546,0.106,2.66%,+36.53,25,1.3,0.78,0.015,vwap,-0.015,-0.03,0.7,0.03,16,
"21, 2, 1.4, 0.01, combined, -0.011, -0.026, 0.6, 0.014",COMPLETED,0.7089,+17.16,+1.72%,10.57,1.03%,3,33.33%,2.836,+5.72,+0.57%,6.00,0.709,0.066,44.06%,+27.99,21,2,1.4,0.01,combined,-0.011,-0.026,0.6,0.014,17,
"12, 2.8, 1.12, 0.008, ladder, -0.016, -0.03, 0.1, 0.022",SKIPPED_MIN_TRADES,,,,,,0,,,,,,,,,,12,2.8,1.12,0.008,ladder,-0.016,-0.03,0.1,0.022,18,closed_trades 0 < min_closed_trades 1
"28, 1.2, 1.08, 0.012, time_only, -0.01, -0.024, 0.7, 0.015",COMPLETED,-0.8269,-206.38,-20.64%,426.18,37.94%,25,40.00%,0.622,-8.26,-0.83%,39.08,-0.827,-0.233,5.00%,+5.64,28,1.2,1.08,0.012,time_only,-0.01,-0.024,0.7,0.015,19,
"23, 2, 1.6, 0.005, vwap, -0.005, -0.023, 0.9, 0.019",COMPLETED,1.0354,+27.64,+2.76%,11.40,1.12%,4,75.00%,5.549,+6.91,+0.69%,23.50,1.035,0.128,0.48%,+29.04,23,2,1.6,0.005,vwap,-0.005,-0.023,0.9,0.019,20,
"17, 2, 1.2, 0.015, time_only, -0.002, -0.015, 0.6, 0.011",COMPLETED,0.2776,+35.04,+3.50%,215.76,19.88%,4,75.00%,1.427,+8.76,+0.88%,35.25,0.278,0.030,0.72%,+29.78,17,2,1.2,0.015,time_only,-0.002,-0.015,0.6,0.011,21,
"22, 2, 1.6, 0.006, vwap, -0.005, -0.023, 0.9, 0.019",COMPLETED,1.3387,+45.81,+4.58%,13.95,1.34%,4,75.00%,5.866,+11.45,+1.15%,24.25,1.339,0.175,0.50%,+30.85,22,2,1.6,0.006,vwap,-0.005,-0.023,0.9,0.019,22,
