PARAMETERS,STATUS,SCORE,NETPROFITAMOUNT,NETPROFITPERCENT,MAXDRAWDOWNAMOUNT,MAXDRAWDOWNPERCENT,CLOSEDTRADES,PERCENTPROFITABLE,PROFITFACTOR,AVERAGETRADEAMOUNT,AVERAGETRADEPERCENT,AVGERAGEBARSINTRADES,SHARPERATIO,SORTINORATIO,EXPOSUREPERCENT,RETURNVSBUYHOLDPCTPOINTS,LOOKBACK DAYS,VOLATILITY MULTIPLIER ENTER,VOLATILITY MULTIPLIER EXIT,TARGET DAILY VOLATILITY,EXIT MODE,STOPLOSS LADDER STEP0,STOPLOSS LADDER STEP1,STOPLOSS LADDER RATIO0,TAKEPROFIT LADDER STEP0,ITERATION,SKIPREASON
"20, 2, 1.2, 0.01, time_only, -0.008, -0.028, 0.5, 0.012",COMPLETED,-1.0042,-403.28,-40.33%,441.69,42.54%,24,33.33%,0.217,-16.80,-1.68%,35.00,-1.004,-0.146,1.45%,-128.81,20,2,1.2,0.01,time_only,-0.008,-0.028,0.5,0.012,1,
"6, 2.4, 1.92, 0.018, combined, -0.009, -0.013, 0.8, 0.01",COMPLETED,-0.7004,-17.25,-1.72%,17.25,1.72%,2,0.00%,0.000,-8.62,-0.86%,9.50,-0.700,-0.035,95.90%,-90.21,6,2.4,1.92,0.018,combined,-0.009,-0.013,0.8,0.01,2,
"16, 0.9, 0.63, 0.009, time_only, -0.017, -0.028, 0.5, 0.025",COMPLETED,-0.2154,-398.88,-39.89%,703.72,63.19%,225,48.89%,0.840,-1.77,-0.18%,45.15,-0.215,-0.115,17.49%,-128.37,16,0.9,0.63,0.009,time_only,-0.017,-0.028,0.5,0.025,3,
"20, 1, 0.4, 0.007, ladder, -0.011, -0.012, 0.3, 0.007",COMPLETED,-0.9185,-74.90,-7.49%,81.26,8.09%,3,0.00%,0.000,-24.97,-2.50%,16.33,-0.918,-0.053,95.92%,-95.97,20,1,0.4,0.007,ladder,-0.011,-0.012,0.3,0.007,4,
"5, 2.2, 1.76, 0.019, vwap, -0.012, -0.022, 0.5, 0.009",COMPLETED,0.4568,+339.40,+33.94%,752.39,62.31%,75,37.33%,1.224,+4.53,+0.45%,26.39,0.457,0.118,3.41%,-54.54,5,2.2,1.76,0.019,vwap,-0.012,-0.022,0.5,0.009,5,
"20, 3, 0.3, 0.019, combined, -0.006, -0.024, 0.4, 0.012",COMPLETED,0.2550,+63.11,+6.31%,112.15,11.07%,6,50.00%,1.637,+10.52,+1.05%,21.83,0.255,0.016,0.22%,-82.17,20,3,0.3,0.019,combined,-0.006,-0.024,0.4,0.012,6,
"8, 2.6, 1.82, 0.017, vwap, -0.014, -0.025, 0.1, 0.026",COMPLETED,0.5566,+304.63,+30.46%,148.44,13.00%,19,47.37%,2.056,+16.03,+1.60%,31.42,0.557,0.085,1.03%,-58.02,8,2.6,1.82,0.017,vwap,-0.014,-0.025,0.1,0.026,7,
"14, 2.3, 0.69, 0.006, time_only, -0.007, -0.009, 0.3, 0.013",COMPLETED,-0.7280,-179.13,-17.91%,196.11,19.34%,17,29.41%,0.408,-10.54,-1.05%,30.71,-0.728,-0.097,0.90%,-106.40,14,2.3,0.69,0.006,time_only,-0.007,-0.009,0.3,0.013,8,
"8, 2.3, 0.46, 0.016, ladder, -0.008, -0.018, 0.5, 0.016",COMPLETED,-0.2671,-238.49,-23.85%,613.46,48.65%,26,50.00%,0.687,-9.17,-0.92%,36.23,-0.267,-0.039,1.62%,-112.33,8,2.3,0.46,0.016,ladder,-0.008,-0.018,0.5,0.016,9,
"13, 0.5, 0.45, 0.013, time_only, -0.018, -0.03, 0.3, 0.007",COMPLETED,-1.1783,-987.57,-98.76%,"1,547.71",99.48%,532,46.80%,0.733,-1.86,-0.19%,53.52,-1.178,-1.060,49.01%,-187.24,13,0.5,0.45,0.013,time_only,-0.018,-0.03,0.3,0.007,10,
"28, 3, 1.5, 0.014, vwap, -0.015, -0.021, 0.1, 0.03",COMPLETED,0.6154,+44.20,+4.42%,24.87,2.42%,2,100.00%,,+22.10,+2.21%,32.50,0.615,0.028,0.11%,-84.06,28,3,1.5,0.014,vwap,-0.015,-0.021,0.1,0.03,11,
"28, 3, 1.5, 0.014, vwap, -0.015, -0.021, 0.1, 0.03",COMPLETED,0.6154,+44.20,+4.42%,24.87,2.42%,2,100.00%,,+22.10,+2.21%,32.50,0.615,0.028,0.11%,-84.06,28,3,1.5,0.014,vwap,-0.015,-0.021,0.1,0.03,12,
"30, 3, 1.5, 0.014, vwap, -0.02, -0.025, 0.1, 0.03",COMPLETED,0.4504,+47.61,+4.76%,34.49,3.44%,2,100.00%,,+23.80,+2.38%,24.50,0.450,0.022,0.08%,-83.72,30,3,1.5,0.014,vwap,-0.02,-0.025,0.1,0.03,13,
"30, 1.6, 0.8, 0.011, vwap, -0.002, -0.009, 0.8, 0.022",COMPLETED,-0.0760,-78.43,-7.84%,322.86,29.99%,43,39.53%,0.843,-1.82,-0.18%,29.16,-0.076,-0.014,2.16%,-96.33,30,1.6,0.8,0.011,vwap,-0.002,-0.009,0.8,0.022,14,
"25, 2.7, 1.08, 0.015, vwap, -0.015, -0.022, 0.1, 0.029",COMPLETED,-0.1061,-33.02,-3.30%,124.79,12.41%,6,33.33%,0.774,-5.50,-0.55%,28.50,-0.106,-0.008,0.29%,-91.79,25,2.7,1.08,0.015,vwap,-0.015,-0.022,0.1,0.029,15,
"26, 1.6, 0.96, 0.012, vwap, -0.014, -0.02, 0.2, 0.021",COMPLETED,-0.0917,-106.68,-10.67%,315.61,29.33%,45,40.00%,0.826,-2.37,-0.24%,29.07,-0.092,-0.018,2.25%,-99.15,26,1.6,0.96,0.012,vwap,-0.014,-0.02,0.2,0.021,16,
"25, 2.8, 0.84, 0.014, vwap, -0.017, -0.03, 0.7, 0.026",COMPLETED,0.2985,+57.44,+5.74%,79.30,7.82%,4,50.00%,1.878,+14.36,+1.44%,35.75,0.298,0.022,0.25%,-82.74,25,2.8,0.84,0.014,vwap,-0.017,-0.03,0.7,0.026,17,
"27, 2, 1, 0.008, vwap, -0.02, -0.023, 0.2, 0.02",COMPLETED,-0.9034,-203.04,-20.30%,221.83,22.12%,20,30.00%,0.284,-10.15,-1.02%,29.10,-0.903,-0.104,1.00%,-108.79,27,2,1,0.008,vwap,-0.02,-0.023,0.2,0.02,18,
"23, 3, 1.2, 0.012, combined, -0.011, -0.019, 0.2, 0.028",COMPLETED,-0.1209,-5.75,-0.57%,29.56,2.89%,3,33.33%,0.791,-1.92,-0.19%,22.33,-0.121,-0.005,62.09%,-89.06,23,3,1.2,0.012,combined,-0.011,-0.019,0.2,0.028,19,
"28, 1.2, 0.72, 0.016, ladder, -0.015, -0.023, 0.9, 0.023",COMPLETED,-0.4011,-36.68,-3.67%,48.51,4.81%,2,0.00%,0.000,-18.34,-1.83%,20.50,-0.401,-0.010,95.90%,-92.15,28,1.2,0.72,0.016,ladder,-0.015,-0.023,0.9,0.023,20,
