PARAMETERS,STATUS,SCORE,NETPROFITAMOUNT,NETPROFITPERCENT,MAXDRAWDOWNAMOUNT,MAXDRAWDOWNPERCENT,CLOSEDTRADES,PERCENTPROFITABLE,PROFITFACTOR,AVERAGETRADEAMOUNT,AVERAGETRADEPERCENT,AVGERAGEBARSINTRADES,SHARPERATIO,SORTINORATIO,EXPOSUREPERCENT,RETURNVSBUYHOLDPCTPOINTS,LOOKBACK DAYS,VOLATILITY MULTIPLIER ENTER,VOLATILITY MULTIPLIER EXIT,TARGET DAILY VOLATILITY,EXIT MODE,STOPLOSS LADDER STEP0,STOPLOSS LADDER STEP1,STOPLOSS LADDER RATIO0,TAKEPROFIT LADDER STEP0,ITERATION,SKIPREASON
"20, 2, 1.2, 0.01, time_only, -0.008, -0.028, 0.5, 0.012",COMPLETED,-0.3337,-139.54,-13.95%,215.28,20.64%,23,34.78%,0.519,-6.07,-0.61%,43.61,-0.334,-0.054,1.76%,-181.49,20,2,1.2,0.01,time_only,-0.008,-0.028,0.5,0.012,1,
"6, 2.4, 1.92, 0.018, combined, -0.009, -0.013, 0.8, 0.01",COMPLETED,0.3424,+170.25,+17.03%,329.04,26.32%,12,41.67%,1.416,+14.19,+1.42%,28.42,0.342,0.038,46.46%,-150.51,6,2.4,1.92,0.018,combined,-0.009,-0.013,0.8,0.01,2,
"16, 0.9, 0.63, 0.009, time_only, -0.017, -0.028, 0.5, 0.025",COMPLETED,-0.4371,-446.40,-44.64%,635.36,53.93%,183,45.90%,0.807,-2.44,-0.24%,46.33,-0.437,-0.229,14.87%,-212.17,16,0.9,0.63,0.009,time_only,-0.017,-0.028,0.5,0.025,3,
"20, 1, 0.4, 0.007, ladder, -0.011, -0.012, 0.3, 0.007",COMPLETED,-0.1248,-27.98,-2.80%,123.27,11.25%,11,36.36%,0.824,-2.54,-0.25%,39.18,-0.125,-0.019,90.57%,-170.33,20,1,0.4,0.007,ladder,-0.011,-0.012,0.3,0.007,4,
"5, 2.2, 1.76, 0.019, vwap, -0.012, -0.022, 0.5, 0.009",COMPLETED,0.2992,+102.93,+10.29%,"1,086.19",54.98%,88,23.86%,1.056,+1.17,+0.12%,16.35,0.299,0.065,2.52%,-157.24,5,2.2,1.76,0.019,vwap,-0.012,-0.022,0.5,0.009,5,
"20, 3, 0.3, 0.019, combined, -0.006, -0.024, 0.4, 0.012",COMPLETED,-0.3025,-60.59,-6.06%,137.81,12.79%,3,0.00%,0.000,-20.20,-2.02%,15.67,-0.302,-0.021,61.87%,-173.59,20,3,0.3,0.019,combined,-0.006,-0.024,0.4,0.012,6,
"8, 2.6, 1.82, 0.017, vwap, -0.014, -0.025, 0.1, 0.026",COMPLETED,-0.1297,-134.26,-13.43%,471.07,35.51%,18,33.33%,0.756,-7.46,-0.75%,28.56,-0.130,-0.017,0.90%,-180.96,8,2.6,1.82,0.017,vwap,-0.014,-0.025,0.1,0.026,7,
"14, 2.3, 0.69, 0.006, time_only, -0.007, -0.009, 0.3, 0.013",COMPLETED,-0.1997,-53.01,-5.30%,146.66,13.86%,16,37.50%,0.604,-3.31,-0.33%,47.81,-0.200,-0.030,1.34%,-172.83,14,2.3,0.69,0.006,time_only,-0.007,-0.009,0.3,0.013,8,
"8, 2.3, 0.46, 0.016, ladder, -0.008, -0.018, 0.5, 0.016",COMPLETED,-0.2453,-318.70,-31.87%,608.33,48.53%,28,25.00%,0.685,-11.38,-1.14%,38.11,-0.245,-0.041,1.85%,-199.40,8,2.3,0.46,0.016,ladder,-0.008,-0.018,0.5,0.016,9,
"13, 0.5, 0.45, 0.013, time_only, -0.018, -0.03, 0.3, 0.007",COMPLETED,-0.7263,-949.72,-94.97%,"1,069.23",95.81%,483,45.76%,0.747,-1.97,-0.20%,50.25,-0.726,-0.612,42.57%,-262.50,13,0.5,0.45,0.013,time_only,-0.018,-0.03,0.3,0.007,10,
