iteration,status,skip_reason,score,param_volatility_multiplier_enter,param_stoploss_ladder_step0,param_volatility_multiplier_exit,param_stoploss_ladder_step1,param_lookback_days,param_target_daily_volatility,param_exit_mode,param_stoploss_ladder_ratio0,param_takeprofit_ladder_step0,closed_trades,symbol,strategy,initial_capital,final_equity,open_pnl,total_pnl,total_pnl_pct,total_net_pnl,return_pct,winning_trades,losing_trades,breakeven_trades,win_rate_pct,gross_profit,gross_loss,profit_factor,commission_paid,average_trade,average_winning_trade,average_losing_trade,average_win_loss_ratio,average_bars_held,average_winning_bars_held,average_losing_bars_held,best_trade,worst_trade,max_drawdown,max_drawdown_pct,max_drawdown_period_bars,max_drawdown_period_days,buy_hold_pnl,buy_hold_return_pct,return_vs_buy_hold_pct_points,strategy_outperformance_pnl,cagr_pct,required_account_size,return_on_required_account_pct,net_profit_to_max_drawdown_pct,max_position_value,average_position_value,capital_efficiency_pct,exposure_bars,exposure_pct,bars,start,end,long_closed_trades,long_net_pnl,long_gross_profit,long_gross_loss,long_profit_factor,long_win_rate_pct,short_closed_trades,short_net_pnl,short_gross_profit,short_gross_loss,short_profit_factor,short_win_rate_pct,max_trade_runup,max_trade_runup_pct,max_trade_drawdown,max_trade_drawdown_pct,average_trade_runup,average_trade_drawdown,sharpe_ratio,sortino_ratio
1,COMPLETED,,-0.3336722073716619,2.0,-0.008,1.2,-0.028,20,0.01,time_only,0.5,0.012,23,LOGI,noise_boundary_intraday,1000.0,860.4631956883981,0.0,-139.53680431160194,-13.953680431160196,-139.53680431160197,-13.953680431160196,8,14,1,34.78260869565217,150.32840341799806,-289.86520772959994,0.5186148575590056,0.0,-6.066817578765303,18.791050427249758,-20.704657694971424,0.90757600072826,43.608695652173914,50.0,43.07142857142857,32.75904076000022,-71.37603073000022,-215.28177088579935,-20.63752838983923,51082,980.3631432779307,1675.3162504054494,167.53162504054495,-181.48530547170515,-1814.8530547170512,-4.892531451874782,1215.2817708857992,-11.481847885358786,-64.81589395026955,18108.57322312,2441.140422784247,-0.7705565899220004,1003,1.7591244716488066,57017,2019-01-02 09:30:00,2021-12-31 15:55:00,8,-95.16989050660288,44.69130012339788,-139.86119063000075,0.3195403951738663,37.5,15,-44.36691380499907,105.6371032946002,-150.00401709959928,0.7042284955906184,33.33333333333333,,,,,,,-0.3336722073716619,-0.05397730138422585
2,COMPLETED,,0.34239633558733595,2.4000000000000004,-0.009000000000000001,1.9200000000000004,-0.013000000000000001,6,0.018000000000000002,combined,0.8,0.01,12,LOGI,noise_boundary_intraday,1000.0,1170.2521355795068,-7.817746450200496e-14,170.25213557950678,17.02521355795068,170.25213557950678,17.02521355795068,5,7,0,41.66666666666667,579.2416536197003,-408.98951804019345,1.4162750585768686,0.0,14.1876779649589,115.84833072394005,-58.42707400574192,1.982785082007616,28.416666666666668,39.0,20.857142857142858,321.6154890000004,-87.92984497999974,-329.0395992200081,-26.31940434658,26344,505.5927067560747,1675.3162504054494,167.53162504054495,-150.50641148259427,-1505.0641148259426,5.387875986038493,1329.039599220008,12.810162743038283,51.7421416702097,57155.24205684,229.0602023698182,0.29787667666632167,26488,46.45632004489889,57017,2019-01-02 09:30:00,2021-12-31 15:55:00,6,284.75006219270125,433.2380774068995,-148.4880152141983,2.917663602560388,50.0,6,-114.49792661319448,146.00357621280074,-260.5015028259952,0.5604711474940143,33.33333333333333,,,,,,,0.34239633558733595,0.037989378561016376
3,COMPLETED,,-0.4371353419582643,0.9,-0.017,0.63,-0.028,16,0.009000000000000001,time_only,0.5,0.025,183,LOGI,noise_boundary_intraday,1000.0,553.6032471324098,0.0,-446.3967528675902,-44.639675286759015,-446.3967528675902,-44.639675286759015,84,95,4,45.90163934426229,1860.605671620905,-2307.0024244884953,0.8065035614487641,0.0,-2.439326518402132,22.15006751929649,-24.28423604724732,0.9121171230670547,46.333333333333336,50.07142857142857,44.252631578947366,147.13768296500035,-95.45115373000058,-635.3613140259993,-53.93406054736055,20563,394.6440490823399,1675.3162504054494,167.53162504054495,-212.17130032730398,-2121.7130032730397,-17.911265294376776,1635.3613140259993,-27.296521511116858,-70.25872413272607,13174.67431379,3785.5055971483143,-3.388294406643088,8479,14.871003384955364,57017,2019-01-02 09:30:00,2021-12-31 15:55:00,89,66.58554504590438,890.8262187958028,-824.2406737498984,1.0807841048937468,51.68539325842697,94,-512.9822979134944,969.7794528251021,-1482.7617507385967,0.654035924747879,40.42553191489361,,,,,,,-0.4371353419582643,-0.22852171393515625
4,COMPLETED,,-0.12482090735028185,1.0,-0.011,0.4,-0.012,20,0.007,ladder,0.30000000000000004,0.007,11,LOGI,noise_boundary_intraday,1000.0,972.0241765167989,-5.917399903410114e-13,-27.97582348320111,-2.797582348320111,-27.9758234832005,-2.797582348320111,4,7,0,36.36363636363637,130.5369719799995,-158.5127954632,0.8235106295270951,0.0,-2.5432566802909546,32.63424299499987,-22.64468506617143,1.4411436016724164,39.18181818181818,38.5,39.57142857142857,48.72408767999992,-46.48003829999982,-123.27181584000084,-11.254657800285674,52692,1011.2621813084986,1675.3162504054494,167.53162504054495,-170.32920738886506,-1703.2920738886505,-0.942630686675261,1123.2718158400007,-2.490565781914535,-22.69441988224736,7780.3094889,44.99039479043342,-0.3595721162906566,51639,90.56772541522705,57017,2019-01-02 09:30:00,2021-12-31 15:55:00,2,25.957563619999696,33.0198811199993,-7.062317499999599,4.675502215809637,50.0,9,-53.933387103200204,97.5170908600002,-151.4504779632004,0.6438876401809376,33.33333333333333,,,,,,,-0.12482090735028185,-0.019068803825415388
5,COMPLETED,,0.29920768667724057,2.2,-0.012,1.7600000000000002,-0.022000000000000002,5,0.019,vwap,0.5,0.009000000000000001,88,LOGI,noise_boundary_intraday,1000.0,1102.9339070588017,0.0,102.93390705880165,10.293390705880165,102.93390705880194,10.293390705880165,21,31,36,23.863636363636363,1938.0637939032044,-1835.129886844403,1.0560908019626891,0.0,1.1697034893045675,92.28875209062878,-59.19773828530332,1.5589911838496837,16.352272727272727,31.285714285714285,23.64516129032258,449.26204668000264,-234.48046920000058,-1086.1921769968944,-54.97636370032518,16423,315.1893798608797,1675.3162504054494,167.53162504054495,-157.23823433466478,-1572.3823433466478,3.324278116810997,2086.1921769968944,4.934056804247851,9.476583355939255,82606.52789045998,18709.239132333667,0.12460747314703383,1439,2.523808688636722,57017,2019-01-02 09:30:00,2021-12-31 15:55:00,57,67.91617591462011,894.4299669986101,-826.51379108399,1.0821718604665345,19.298245614035086,31,35.01773114418171,1043.6338269045943,-1008.6160957604128,1.0347185924271625,32.25806451612903,,,,,,,0.29920768667724057,0.06514943728133399
6,COMPLETED,,-0.30249209143284816,3.0,-0.006,0.29999999999999993,-0.024,20,0.019,combined,0.4,0.012,3,LOGI,noise_boundary_intraday,1000.0,939.4139229376004,-3.393545000562881e-13,-60.58607706239957,-6.058607706239957,-60.58607706239923,-6.058607706239957,0,3,0,0.0,0.0,-60.58607706239923,0.0,0.0,-20.195359020799742,,-20.195359020799742,,15.666666666666666,,15.666666666666666,-6.287105649999898,-28.55603333239988,-137.81489130240072,-12.793464998393212,51012,979.019706841819,1675.3162504054494,167.53162504054495,-173.59023274678492,-1735.9023274678489,-2.064516437710573,1137.8148913024006,-5.324774488849384,-43.961923482897106,12424.18549086,15.341152868742231,-0.4876462695037038,35278,61.8727747864672,57017,2019-01-02 09:30:00,2021-12-31 15:55:00,2,-34.84313898239978,0.0,-34.84313898239978,0.0,0.0,1,-25.74293807999945,0.0,-25.74293807999945,0.0,0.0,,,,,,,-0.30249209143284816,-0.02117344540125282
7,COMPLETED,,-0.12967335495488685,2.6,-0.014,1.8199999999999998,-0.025,8,0.017,vwap,0.1,0.026000000000000002,18,LOGI,noise_boundary_intraday,1000.0,865.7361998794046,0.0,-134.26380012059542,-13.426380012059541,-134.26380012059548,-13.426380012059541,6,11,1,33.33333333333333,416.76384599120473,-551.0276461118003,0.7563392670621933,0.0,-7.459100006699749,69.46064099853412,-50.09342237380003,1.386621989614021,28.555555555555557,38.5,25.727272727272727,154.69803468000063,-225.3088243200004,-471.06904379960054,-35.5086068521495,28643,549.7149977077986,1675.3162504054494,167.53162504054495,-180.9580050526045,-1809.580050526045,-4.6983879801406285,1471.0690437996004,-9.126954352448857,-28.501936581872528,16322.72719104,8981.498414138421,-0.8225573983390265,514,0.9014855218619009,57017,2019-01-02 09:30:00,2021-12-31 15:55:00,9,76.0953354396028,160.3418185118029,-84.24648307220009,1.903246434327571,44.44444444444444,9,-210.35913556019827,256.4220274794019,-466.7811630396002,0.5493409927033578,22.22222222222222,,,,,,,-0.12967335495488685,-0.016765975331186372
8,COMPLETED,,-0.19971994507182614,2.3,-0.006999999999999999,0.6899999999999998,-0.009,14,0.006,time_only,0.30000000000000004,0.013000000000000001,16,LOGI,noise_boundary_intraday,1000.0,946.9933358382003,0.0,-53.00666416179968,-5.300666416179968,-53.00666416179961,-5.300666416179968,6,10,0,37.5,80.85742894660095,-133.8640931084006,0.6040262707425519,0.0,-3.312916510112476,13.476238157766824,-13.38640931084006,1.0067104512375864,47.8125,44.0,50.1,20.982883950000133,-35.87375960000051,-146.65630947229977,-13.863093678657739,51012,979.019706841819,1675.3162504054494,167.53162504054495,-172.83229145672493,-1728.322914567249,-1.8014763960044977,1146.6563094722997,-4.622715954547337,-36.14345973421037,8549.251633130001,1976.3978152837017,-0.620015253222733,765,1.3417051054948523,57017,2019-01-02 09:30:00,2021-12-31 15:55:00,6,-21.736264406099544,22.919240018900396,-44.65550442499993,0.5132455744037971,33.33333333333333,10,-31.27039975570009,57.938188927700544,-89.20858868340065,0.6494687314617421,40.0,,,,,,,-0.19971994507182614,-0.02960834578856491
9,COMPLETED,,-0.24528123364445498,2.3,-0.008,0.45999999999999985,-0.018000000000000002,8,0.016,ladder,0.5,0.016,28,LOGI,noise_boundary_intraday,1000.0,681.2999283969048,0.0,-318.70007160309524,-31.87000716030952,-318.70007160309524,-31.87000716030952,7,21,0,25.0,693.7973183214068,-1012.4973899245019,0.6852336857610474,0.0,-11.382145414396259,99.11390261734383,-48.21416142497628,2.0557010572831422,38.107142857142854,43.42857142857143,36.333333333333336,228.90387450480355,-178.32768681000178,-608.3278045442993,-48.525807579151895,51012,979.019706841819,1675.3162504054494,167.53162504054495,-199.40163220085446,-1994.0163220085446,-12.02265660935976,1608.3278045442994,-19.815616611403115,-52.38952900432271,37805.663476385,8462.95168238141,-0.8429955786972728,1054,1.8485714786817966,57017,2019-01-02 09:30:00,2021-12-31 15:55:00,11,23.95234811180235,462.75748901980677,-438.80514090800443,1.054585386265618,27.27272727272727,17,-342.65241971489763,231.0398293016001,-573.6922490164977,0.40272433468933977,23.52941176470588,,,,,,,-0.24528123364445498,-0.04064976037963489
10,COMPLETED,,-0.7263080325210431,0.5,-0.018000000000000002,0.45,-0.03,13,0.013000000000000001,time_only,0.30000000000000004,0.007,483,LOGI,noise_boundary_intraday,1000.0,50.28402918640745,0.0,-949.7159708135925,-94.97159708135926,-949.7159708135932,-94.97159708135926,221,256,6,45.75569358178054,2803.1427330517954,-3752.8587038653886,0.7469353243074673,0.0,-1.966285653858371,12.683903769465138,-14.659604311974174,0.8652282489715458,50.25258799171843,53.067873303167424,48.60546875,148.32946242999898,-145.85292675000167,-1069.2331668590798,-95.81205754487434,53432,1025.4642236331074,1675.3162504054494,167.53162504054495,-262.50322212190423,-2625.032221219042,-63.139869133308714,2069.2331668590796,-45.897001170495486,-88.82215780898626,23979.327299400004,2388.722960492605,-3.9605613575213034,24272,42.56975989617132,57017,2019-01-02 09:30:00,2021-12-31 15:55:00,236,-132.61932851629584,1645.8848169310031,-1778.504145447299,0.9254320947995645,53.38983050847458,247,-817.0966422972973,1157.2579161207925,-1974.3545584180895,0.5861449308517419,38.46153846153847,,,,,,,-0.7263080325210431,-0.6123556364453829
