PARAMETERS,STATUS,SCORE,NETPROFITAMOUNT,NETPROFITPERCENT,MAXDRAWDOWNAMOUNT,MAXDRAWDOWNPERCENT,CLOSEDTRADES,PERCENTPROFITABLE,PROFITFACTOR,AVERAGETRADEAMOUNT,AVERAGETRADEPERCENT,AVGERAGEBARSINTRADES,SHARPERATIO,SORTINORATIO,EXPOSUREPERCENT,RETURNVSBUYHOLDPCTPOINTS,LOOKBACK DAYS,VOLATILITY MULTIPLIER ENTER,VOLATILITY MULTIPLIER EXIT,TARGET DAILY VOLATILITY,EXIT MODE,STOPLOSS LADDER STEP0,STOPLOSS LADDER STEP1,STOPLOSS LADDER RATIO0,TAKEPROFIT LADDER STEP0,ITERATION,SKIPREASON
"20, 2, 1.2, 0.01, time_only, -0.008, -0.028, 0.5, 0.012",COMPLETED,-0.1074,-60.31,-6.03%,204.72,20.20%,25,44.00%,0.786,-2.41,-0.24%,45.28,-0.107,-0.019,1.93%,-37.51,20,2,1.2,0.01,time_only,-0.008,-0.028,0.5,0.012,1,
"6, 2.4, 1.92, 0.018, combined, -0.009, -0.013, 0.8, 0.01",COMPLETED,-0.4367,-99.03,-9.90%,219.71,19.62%,3,0.00%,0.000,-33.01,-3.30%,24.00,-0.437,-0.039,78.13%,-41.38,6,2.4,1.92,0.018,combined,-0.009,-0.013,0.8,0.01,2,
"16, 0.9, 0.63, 0.009, time_only, -0.017, -0.028, 0.5, 0.025",COMPLETED,-0.2010,-331.71,-33.17%,793.74,57.56%,224,50.89%,0.877,-1.48,-0.15%,44.91,-0.201,-0.112,17.18%,-64.65,16,0.9,0.63,0.009,time_only,-0.017,-0.028,0.5,0.025,3,
"20, 1, 0.4, 0.007, ladder, -0.011, -0.012, 0.3, 0.007",COMPLETED,-0.2194,-210.31,-21.03%,409.28,34.68%,178,51.12%,0.879,-1.18,-0.12%,41.15,-0.219,-0.103,12.44%,-52.51,20,1,0.4,0.007,ladder,-0.011,-0.012,0.3,0.007,4,
"5, 2.2, 1.76, 0.019, vwap, -0.012, -0.022, 0.5, 0.009",COMPLETED,0.0057,-244.19,-24.42%,673.71,56.38%,88,27.27%,0.805,-2.77,-0.28%,17.56,0.006,0.001,2.64%,-55.89,5,2.2,1.76,0.019,vwap,-0.012,-0.022,0.5,0.009,5,
"20, 3, 0.3, 0.019, combined, -0.006, -0.024, 0.4, 0.012",COMPLETED,-0.9653,-35.76,-3.58%,35.76,3.58%,2,0.00%,0.000,-17.88,-1.79%,2.00,-0.965,-0.059,93.53%,-35.05,20,3,0.3,0.019,combined,-0.006,-0.024,0.4,0.012,6,
"8, 2.6, 1.82, 0.017, vwap, -0.014, -0.025, 0.1, 0.026",COMPLETED,-0.5382,-296.78,-29.68%,450.30,39.13%,16,18.75%,0.352,-18.55,-1.85%,21.69,-0.538,-0.055,0.59%,-61.15,8,2.6,1.82,0.017,vwap,-0.014,-0.025,0.1,0.026,7,
"14, 2.3, 0.69, 0.006, time_only, -0.007, -0.009, 0.3, 0.013",COMPLETED,-0.2769,-65.10,-6.51%,131.28,12.84%,16,37.50%,0.514,-4.07,-0.41%,46.50,-0.277,-0.040,1.27%,-37.98,14,2.3,0.69,0.006,time_only,-0.007,-0.009,0.3,0.013,8,
"8, 2.3, 0.46, 0.016, ladder, -0.008, -0.018, 0.5, 0.016",COMPLETED,-0.6918,-543.96,-54.40%,594.63,57.76%,30,30.00%,0.390,-18.13,-1.81%,36.77,-0.692,-0.115,1.86%,-85.87,8,2.3,0.46,0.016,ladder,-0.008,-0.018,0.5,0.016,9,
"13, 0.5, 0.45, 0.013, time_only, -0.018, -0.03, 0.3, 0.007",COMPLETED,-0.3750,-890.29,-89.03%,967.55,94.28%,535,50.47%,0.793,-1.66,-0.17%,52.61,-0.375,-0.334,48.08%,-120.50,13,0.5,0.45,0.013,time_only,-0.018,-0.03,0.3,0.007,10,
"28, 1.7, 0.85, 0.014, vwap, -0.014, -0.02, 0.8, 0.021",COMPLETED,-0.0714,-92.91,-9.29%,314.29,30.00%,55,41.82%,0.865,-1.69,-0.17%,23.02,-0.071,-0.014,2.16%,-40.77,28,1.7,0.85,0.014,vwap,-0.014,-0.02,0.8,0.021,11,
"29, 1.7, 0.68, 0.014, vwap, -0.002, -0.008, 0.8, 0.021",COMPLETED,-0.1293,-122.12,-12.21%,341.05,32.68%,56,42.86%,0.825,-2.18,-0.22%,22.62,-0.129,-0.025,2.16%,-43.69,29,1.7,0.68,0.014,vwap,-0.002,-0.008,0.8,0.021,12,
"30, 1.6, 0.8, 0.015, vwap, -0.015, -0.022, 0.9, 0.02",COMPLETED,-0.6015,-346.64,-34.66%,461.18,46.12%,69,37.68%,0.570,-5.02,-0.50%,20.48,-0.602,-0.121,2.41%,-66.14,30,1.6,0.8,0.015,vwap,-0.015,-0.022,0.9,0.02,13,
"26, 1.3, 1.17, 0.011, vwap, -0.014, -0.029, 0.7, 0.03",COMPLETED,0.2603,+104.58,+10.46%,286.42,27.71%,141,36.88%,1.085,+0.74,+0.07%,19.43,0.260,0.076,4.68%,-21.02,26,1.3,1.17,0.011,vwap,-0.014,-0.029,0.7,0.03,14,
"25, 1.3, 1.17, 0.011, vwap, -0.02, -0.03, 0.7, 0.028",COMPLETED,0.2780,+117.42,+11.74%,306.42,30.43%,140,37.86%,1.100,+0.84,+0.08%,18.81,0.278,0.080,4.50%,-19.73,25,1.3,1.17,0.011,vwap,-0.02,-0.03,0.7,0.028,15,
"25, 1.3, 1.17, 0.011, vwap, -0.02, -0.03, 0.7, 0.03",COMPLETED,0.2780,+117.42,+11.74%,306.42,30.43%,140,37.86%,1.100,+0.84,+0.08%,18.81,0.278,0.080,4.50%,-19.73,25,1.3,1.17,0.011,vwap,-0.02,-0.03,0.7,0.03,16,
"24, 1.3, 1.17, 0.008, vwap, -0.02, -0.03, 0.7, 0.028",COMPLETED,-0.0135,-51.21,-5.12%,277.18,27.57%,143,36.36%,0.948,-0.36,-0.04%,19.08,-0.014,-0.004,4.66%,-36.60,24,1.3,1.17,0.008,vwap,-0.02,-0.03,0.7,0.028,17,
"24, 0.5, 0.35, 0.011, vwap, -0.02, -0.03, 0.7, 0.024",COMPLETED,2.6382,"+66,014.60","+6,601.46%","9,382.51",31.82%,1161,35.23%,1.608,+56.86,+5.69%,15.64,2.638,2.129,31.01%,"+6,569.99",24,0.5,0.35,0.011,vwap,-0.02,-0.03,0.7,0.024,18,
