iteration,status,skip_reason,score,param_volatility_multiplier_enter,param_stoploss_ladder_step0,param_volatility_multiplier_exit,param_stoploss_ladder_step1,param_lookback_days,param_target_daily_volatility,param_exit_mode,param_stoploss_ladder_ratio0,param_takeprofit_ladder_step0,closed_trades,symbol,strategy,initial_capital,final_equity,open_pnl,total_pnl,total_pnl_pct,total_net_pnl,return_pct,winning_trades,losing_trades,breakeven_trades,win_rate_pct,gross_profit,gross_loss,profit_factor,commission_paid,average_trade,average_winning_trade,average_losing_trade,average_win_loss_ratio,average_bars_held,average_winning_bars_held,average_losing_bars_held,best_trade,worst_trade,max_drawdown,max_drawdown_pct,max_drawdown_period_bars,max_drawdown_period_days,buy_hold_pnl,buy_hold_return_pct,return_vs_buy_hold_pct_points,strategy_outperformance_pnl,cagr_pct,required_account_size,return_on_required_account_pct,net_profit_to_max_drawdown_pct,max_position_value,average_position_value,capital_efficiency_pct,exposure_bars,exposure_pct,bars,start,end,long_closed_trades,long_net_pnl,long_gross_profit,long_gross_loss,long_profit_factor,long_win_rate_pct,short_closed_trades,short_net_pnl,short_gross_profit,short_gross_loss,short_profit_factor,short_win_rate_pct,max_trade_runup,max_trade_runup_pct,max_trade_drawdown,max_trade_drawdown_pct,average_trade_runup,average_trade_drawdown,sharpe_ratio,sortino_ratio
1,COMPLETED,,-0.3154580085101419,2.0,-0.008,1.2,-0.028,20,0.01,time_only,0.5,0.012,13,NVO,noise_boundary_intraday,1000.0,912.9071318250031,0.0,-87.09286817499685,-8.709286817499686,-87.09286817499684,-8.709286817499686,3,10,0,23.076923076923077,101.75551670000111,-188.84838487499795,0.5388212177051706,0.0,-6.69945139807668,33.91850556666704,-18.884838487499795,1.796070725683902,28.923076923076923,25.333333333333332,30.0,67.44523935000105,-46.4988741000005,-132.6493822999986,-12.877063407991265,28331,528.4979305768647,285.16200294550805,28.516200294550803,-37.22548711205049,-372.2548711205049,-2.995698279769965,1132.6493822999987,-7.689305228608603,-65.65644457961245,15567.0442204,4766.387696334375,-0.5594695238346215,376,0.640981929764746,58660,2018-01-02 09:30:00,2020-12-31 15:55:00,7,-74.58799854999815,7.597335549999876,-82.18533409999803,0.09244149985149307,14.285714285714285,6,-12.504869624998683,94.15818115000124,-106.66305077499993,0.8827628730461025,33.33333333333333,,,,,,,-0.3154580085101419,-0.034617268861086486
2,COMPLETED,,0.6987438565868376,2.4000000000000004,-0.009000000000000001,1.9200000000000004,-0.013000000000000001,6,0.018000000000000002,combined,0.8,0.01,9,NVO,noise_boundary_intraday,1000.0,1260.8234192950074,2.6632029914708257e-13,260.8234192950074,26.082341929500743,260.82341929500717,26.082341929500743,4,5,0,44.44444444444444,393.6668113000074,-132.8433920050002,2.963390239878773,0.0,28.980379921667463,98.41670282500185,-26.56867840100004,3.704237799848466,13.555555555555555,15.25,12.2,182.30161220000224,-40.51004222500013,-187.82278639999913,-14.229435045825642,57813,1078.4670805986475,285.16200294550805,28.516200294550803,-2.4338583650500603,-24.338583650500652,8.043061461381384,1187.8227863999991,21.95810875842006,138.8667606812846,55533.01273259999,143.57191959211812,0.46967273421831457,28443,48.48789635185817,58660,2018-01-02 09:30:00,2020-12-31 15:55:00,6,216.11551437500955,309.1025766000057,-92.98706222499614,3.324146060793766,50.0,3,44.70790491999766,84.56423470000175,-39.85632978000408,2.121726590651295,33.33333333333333,,,,,,,0.6987438565868376,0.05437857289381075
3,COMPLETED,,-0.7189053514314548,0.9,-0.017,0.63,-0.028,16,0.009000000000000001,time_only,0.5,0.025,191,NVO,noise_boundary_intraday,1000.0,383.00785823001036,0.0,-616.9921417699896,-61.699214176998964,-616.9921417699902,-61.699214176998964,79,106,6,41.361256544502616,1458.1741206120041,-2075.1662623819943,0.7026782128474991,0.0,-3.2303253495811006,18.457900260911444,-19.57704021115089,0.9428340577447455,42.167539267015705,39.30379746835443,45.0188679245283,104.16696635000045,-111.330184,-792.6968545039928,-72.27358063306227,52630,981.7813026811759,285.16200294550805,28.516200294550803,-90.21541447154976,-902.1541447154978,-27.409299252837904,1792.6968545039927,-34.41698133289247,-77.8345641545475,20534.3744694,4128.653322635577,-3.0046795079607715,8054,13.72996931469485,58660,2018-01-02 09:30:00,2020-12-31 15:55:00,90,-285.7672988649957,656.197499400006,-941.9647982650016,0.6966263501657934,44.44444444444444,101,-331.2248429049947,801.9766212119983,-1133.2014641169928,0.7077087760709083,38.613861386138616,,,,,,,-0.7189053514314548,-0.3458463078591973
4,COMPLETED,,-0.6429829763789824,1.0,-0.011,0.4,-0.012,20,0.007,ladder,0.30000000000000004,0.007,137,NVO,noise_boundary_intraday,1000.0,630.5076257370015,0.0,-369.4923742629985,-36.94923742629985,-369.4923742629984,-36.94923742629985,59,77,1,43.06569343065693,969.6055737810009,-1339.0979480439992,0.7240736760124901,0.0,-2.6970246296569225,16.433992775949168,-17.390882442129858,0.9449775093722329,38.846715328467155,35.66101694915254,41.79220779220779,70.17577214999903,-68.41099264999932,-563.5120488820011,-51.37762317450863,50452,941.1520099348411,285.16200294550805,28.516200294550803,-65.46543772085066,-654.6543772085065,-14.268653066531488,1563.5120488820012,-23.632205106906998,-65.56956057923968,15069.513717700002,3487.8452785223703,-2.4519196915359553,5276,8.99420388680532,58660,2018-01-02 09:30:00,2020-12-31 15:55:00,62,-134.5591498629978,407.47087567600215,-542.030025539,0.7517496383540914,43.54838709677419,75,-234.93322440000065,562.1346981049987,-797.0679225049994,0.7052531939039021,42.66666666666667,,,,,,,-0.6429829763789824,-0.24650923980060246
5,COMPLETED,,0.14419446309263312,2.2,-0.012,1.7600000000000002,-0.022000000000000002,5,0.019,vwap,0.5,0.009000000000000001,42,NVO,noise_boundary_intraday,1000.0,898.9759665050168,0.0,-101.0240334949832,-10.10240334949832,-101.02403349498309,-10.10240334949832,20,19,3,47.61904761904761,1662.4193242850054,-1763.4433577799884,0.9427120621429185,0.0,-2.4053341308329306,83.12096621425027,-92.81280830420992,0.8955764590357727,24.023809523809526,32.15,19.263157894736842,221.25968949999563,-452.15057789999264,-849.5149565059779,-51.86174333858141,40191,749.7391665601205,285.16200294550805,28.516200294550803,-38.618603644049124,-386.18603644049125,-3.4923357477760097,1849.5149565059778,-5.462190675431647,-11.89196643582251,74507.95594395,25755.261285194683,-0.1355882498923743,1009,1.7200818274803953,58660,2018-01-02 09:30:00,2020-12-31 15:55:00,19,279.2634548389965,789.9023834640018,-510.6389286250052,1.5468902568610816,42.10526315789473,23,-380.2874883339796,872.5169408210037,-1252.8044291549834,0.6964510345876701,52.17391304347826,,,,,,,0.14419446309263312,0.02374162545904527
6,COMPLETED,,-0.11025438220562354,3.0,-0.006,0.29999999999999993,-0.024,20,0.019,combined,0.4,0.012,2,NVO,noise_boundary_intraday,1000.0,980.4084587500001,0.0,-19.591541249999864,-1.9591541249999864,-19.591541249999885,-1.9591541249999864,0,2,0,0.0,0.0,-19.591541249999885,0.0,0.0,-9.795770624999943,,-9.795770624999943,,24.5,,24.5,-6.034456500000228,-13.557084749999657,-86.45450600000095,-8.200102161877439,22759,424.5555893543774,285.16200294550805,28.516200294550803,-30.47535441955079,-304.7535441955079,-0.6582509026902494,1086.454506000001,-1.8032546362323105,-22.661099064055342,5712.61882,4240.55918865306,-0.3429520132064384,49,0.08353221957040573,58660,2018-01-02 09:30:00,2020-12-31 15:55:00,2,-19.591541249999885,0.0,-19.591541249999885,0.0,0.0,0,0.0,0.0,0.0,,,,,,,,,-0.11025438220562354,-0.0038960856643320083
7,COMPLETED,,-0.04063064166175179,2.6,-0.014,1.8199999999999998,-0.025,8,0.017,vwap,0.1,0.026000000000000002,8,NVO,noise_boundary_intraday,1000.0,959.9913206299964,0.0,-40.00867937000362,-4.000867937000361,-40.00867937000359,-4.000867937000361,4,4,0,50.0,207.84809437999883,-247.85677375000245,0.8385814566828912,0.0,-5.001084921250449,51.96202359499971,-61.96419343750061,0.8385814566828912,26.5,36.75,16.25,108.02462407999951,-225.68183000000258,-397.20894422500226,-33.290353338574384,57813,1078.4670805986475,285.16200294550805,28.516200294550803,-32.517068231551164,-325.17068231551167,-1.3536334618996393,1397.2089442250021,-2.863471461113174,-10.07245177926818,50762.043907499996,14881.140233589953,-0.07881613168080567,212,0.36140470508012273,58660,2018-01-02 09:30:00,2020-12-31 15:55:00,4,13.762786449998105,35.93773019999796,-22.17494374999985,1.6206458336562048,25.0,4,-53.77146582000171,171.91036418000087,-225.68183000000258,0.7617377268697214,75.0,,,,,,,-0.04063064166175179,-0.003232201515766707
8,COMPLETED,,-0.053735934575072884,2.3,-0.006999999999999999,0.6899999999999998,-0.009,14,0.006,time_only,0.30000000000000004,0.013000000000000001,8,NVO,noise_boundary_intraday,1000.0,991.5844023090024,0.0,-8.415597690997629,-0.8415597690997629,-8.415597690997615,-0.8415597690997629,2,5,1,25.0,43.93807981000077,-52.35367750099839,0.8392548891940375,0.0,-1.0519497113747018,21.969039905000386,-10.470735500199677,2.098137222985094,29.25,31.5,34.2,43.23151435999981,-23.212156275000048,-52.360455650998574,-5.236045565099857,27141,506.2991893610069,285.16200294550805,28.516200294550803,-29.357760063650566,-293.5776006365057,-0.28169115159111247,1052.3604556509986,-0.79968775392569,-16.072430207809163,7917.982555924001,2648.09363196694,-0.1062846202496533,234,0.39890896692806,58660,2018-01-02 09:30:00,2020-12-31 15:55:00,5,-38.76585592499909,0.0,-38.76585592499909,0.0,0.0,3,30.350258234001473,43.93807981000077,-13.5878215759993,3.233636794849464,66.66666666666666,,,,,,,-0.053735934575072884,-0.004934730160543162
9,COMPLETED,,-0.36048950524870016,2.3,-0.008,0.45999999999999985,-0.018000000000000002,8,0.016,ladder,0.5,0.016,5,NVO,noise_boundary_intraday,1000.0,875.3413294249998,8.714806654097629e-13,-124.6586705750002,-12.46586705750002,-124.65867057500114,-12.46586705750002,2,3,0,40.0,63.01524902499865,-187.6739195999998,0.33576987766497696,0.0,-24.93173411500023,31.507624512499326,-62.557973199999935,0.5036548164974655,25.8,41.0,15.666666666666666,53.33175989999865,-82.76128649999895,-300.0824717249998,-25.93552874134516,57813,1078.4670805986475,285.16200294550805,28.516200294550803,-40.98206735205082,-409.82067352050825,-4.346757499886989,1300.0824717249998,-9.588520212075334,-41.541470202644916,33450.8649595,65.27148419183456,-0.372662024512458,40290,68.68394135697238,58660,2018-01-02 09:30:00,2020-12-31 15:55:00,1,53.33175989999865,53.33175989999865,0.0,,100.0,4,-177.99043047499978,9.683489125,-187.6739195999998,0.05159741505713194,25.0,,,,,,,-0.36048950524870016,-0.03741308611168189
10,COMPLETED,,0.4516929586982272,0.5,-0.018000000000000002,0.45,-0.03,13,0.013000000000000001,time_only,0.30000000000000004,0.007,479,NVO,noise_boundary_intraday,1000.0,1072.616900842024,0.0,72.61690084202405,7.261690084202405,72.61690084202417,7.261690084202405,234,240,5,48.8517745302714,8276.475905005012,-8203.859004162989,1.0088515539827263,0.0,0.1516010455992154,35.36955514959407,-34.18274585067912,1.034719542546386,51.7160751565762,52.44444444444444,51.170833333333334,271.32173945000085,-330.447934875,-964.606024753989,-66.01878597699027,53524,998.4583401996439,285.16200294550805,28.516200294550803,-21.2545102103484,-212.545102103484,2.3674681096529593,1964.606024753989,3.696257668308701,7.52814091748434,46444.082552,7576.539677455916,0.15635339714315682,24772,42.22979884077736,58660,2018-01-02 09:30:00,2020-12-31 15:55:00,234,49.14131580801239,4125.628235987997,-4076.4869201799843,1.0120548199393813,49.572649572649574,245,23.475585034011658,4150.8476690170155,-4127.372083983005,1.005687780155589,48.16326530612245,,,,,,,0.4516929586982272,0.394727159385443
