PARAMETERS,STATUS,SCORE,NETPROFITAMOUNT,NETPROFITPERCENT,MAXDRAWDOWNAMOUNT,MAXDRAWDOWNPERCENT,CLOSEDTRADES,PERCENTPROFITABLE,PROFITFACTOR,AVERAGETRADEAMOUNT,AVERAGETRADEPERCENT,AVGERAGEBARSINTRADES,SHARPERATIO,SORTINORATIO,EXPOSUREPERCENT,RETURNVSBUYHOLDPCTPOINTS,LOOKBACK DAYS,VOLATILITY MULTIPLIER ENTER,VOLATILITY MULTIPLIER EXIT,TARGET DAILY VOLATILITY,EXIT MODE,STOPLOSS LADDER STEP0,STOPLOSS LADDER STEP1,STOPLOSS LADDER RATIO0,TAKEPROFIT LADDER STEP0,ITERATION,SKIPREASON
"20, 2, 1.2, 0.01, time_only, -0.008, -0.028, 0.5, 0.012",COMPLETED,-0.1004,-41.69,-4.17%,223.52,21.50%,17,29.41%,0.840,-2.45,-0.25%,35.76,-0.100,-0.015,1.03%,-146.70,20,2,1.2,0.01,time_only,-0.008,-0.028,0.5,0.012,1,
"6, 2.4, 1.92, 0.018, combined, -0.009, -0.013, 0.8, 0.01",COMPLETED,0.2904,+47.08,+4.71%,48.57,4.43%,3,33.33%,1.974,+15.69,+1.57%,3.67,0.290,0.025,81.53%,-137.82,6,2.4,1.92,0.018,combined,-0.009,-0.013,0.8,0.01,2,
"16, 0.9, 0.63, 0.009, time_only, -0.017, -0.028, 0.5, 0.025",COMPLETED,-0.0882,-239.08,-23.91%,811.03,62.87%,201,45.77%,0.905,-1.19,-0.12%,46.57,-0.088,-0.046,15.92%,-166.44,16,0.9,0.63,0.009,time_only,-0.017,-0.028,0.5,0.025,3,
"20, 1, 0.4, 0.007, ladder, -0.011, -0.012, 0.3, 0.007",COMPLETED,0.0782,+8.72,+0.87%,85.11,7.78%,15,40.00%,1.065,+0.58,+0.06%,35.53,0.078,0.011,90.93%,-141.66,20,1,0.4,0.007,ladder,-0.011,-0.012,0.3,0.007,4,
"5, 2.2, 1.76, 0.019, vwap, -0.012, -0.022, 0.5, 0.009",COMPLETED,0.1763,-62.10,-6.21%,711.64,49.60%,41,56.10%,0.959,-1.51,-0.15%,30.10,0.176,0.034,2.10%,-148.74,5,2.2,1.76,0.019,vwap,-0.012,-0.022,0.5,0.009,5,
"20, 3, 0.3, 0.019, combined, -0.006, -0.024, 0.4, 0.012",COMPLETED,0.3315,+63.04,+6.30%,86.45,8.20%,5,40.00%,3.085,+12.61,+1.26%,29.00,0.331,0.024,0.25%,-136.23,20,3,0.3,0.019,combined,-0.006,-0.024,0.4,0.012,6,
"8, 2.6, 1.82, 0.017, vwap, -0.014, -0.025, 0.1, 0.026",COMPLETED,0.2913,+83.03,+8.30%,248.99,19.39%,11,45.45%,1.417,+7.55,+0.75%,32.73,0.291,0.035,0.61%,-134.23,8,2.6,1.82,0.017,vwap,-0.014,-0.025,0.1,0.026,7,
"14, 2.3, 0.69, 0.006, time_only, -0.007, -0.009, 0.3, 0.013",COMPLETED,-0.0134,-5.10,-0.51%,72.53,7.14%,12,41.67%,0.946,-0.42,-0.04%,38.33,-0.013,-0.002,0.78%,-143.04,14,2.3,0.69,0.006,time_only,-0.007,-0.009,0.3,0.013,8,
"8, 2.3, 0.46, 0.016, ladder, -0.008, -0.018, 0.5, 0.016",COMPLETED,-0.0247,-48.37,-4.84%,231.13,23.11%,20,45.00%,0.880,-2.42,-0.24%,29.65,-0.025,-0.004,1.01%,-147.37,8,2.3,0.46,0.016,ladder,-0.008,-0.018,0.5,0.016,9,
"13, 0.5, 0.45, 0.013, time_only, -0.018, -0.03, 0.3, 0.007",COMPLETED,0.1328,-474.30,-47.43%,743.12,69.81%,471,45.44%,0.926,-1.01,-0.10%,54.58,0.133,0.115,43.72%,-189.96,13,0.5,0.45,0.013,time_only,-0.018,-0.03,0.3,0.007,10,
"28, 3, 0.3, 0.014, combined, -0.003, -0.023, 0.9, 0.021",COMPLETED,-0.1004,-12.51,-1.25%,45.23,4.38%,2,0.00%,0.000,-6.26,-0.63%,13.50,-0.100,-0.005,72.06%,-143.78,28,3,0.3,0.014,combined,-0.003,-0.023,0.9,0.021,11,
"24, 3, 1.8, 0.02, vwap, -0.014, -0.03, 0.1, 0.03",COMPLETED,0.3211,+66.11,+6.61%,96.36,9.37%,4,50.00%,2.159,+16.53,+1.65%,34.00,0.321,0.023,0.23%,-135.92,24,3,1.8,0.02,vwap,-0.014,-0.03,0.1,0.03,12,
"26, 3, 1.5, 0.02, combined, -0.003, -0.019, 0.1, 0.02",COMPLETED,0.3048,+63.71,+6.37%,85.57,8.31%,6,50.00%,2.245,+10.62,+1.06%,23.00,0.305,0.023,0.23%,-136.16,26,3,1.5,0.02,combined,-0.003,-0.019,0.1,0.02,13,
"24, 1.6, 0.64, 0.02, vwap, -0.015, -0.03, 0.7, 0.03",COMPLETED,0.5420,+389.21,+38.92%,273.14,26.69%,59,38.98%,1.638,+6.60,+0.66%,16.95,0.542,0.097,1.70%,-103.61,24,1.6,0.64,0.02,vwap,-0.015,-0.03,0.7,0.03,14,
"23, 1.5, 0.15, 0.015, combined, -0.02, -0.03, 0.7, 0.016",COMPLETED,0.4468,+201.23,+20.12%,173.36,13.95%,40,25.00%,3.008,+5.03,+0.50%,11.15,0.447,0.049,60.76%,-122.41,23,1.5,0.15,0.015,combined,-0.02,-0.03,0.7,0.016,15,
"23, 1.5, 0.45, 0.015, vwap, -0.02, -0.03, 0.7, 0.019",COMPLETED,1.1112,+998.84,+99.88%,294.04,16.12%,63,42.86%,2.760,+15.85,+1.59%,18.06,1.111,0.220,1.94%,-42.65,23,1.5,0.45,0.015,vwap,-0.02,-0.03,0.7,0.019,16,
"29, 1.6, 0.48, 0.012, vwap, -0.02, -0.027, 0.7, 0.028",COMPLETED,0.7730,+403.06,+40.31%,165.79,15.55%,56,35.71%,2.552,+7.20,+0.72%,17.29,0.773,0.142,1.65%,-102.22,29,1.6,0.48,0.012,vwap,-0.02,-0.027,0.7,0.028,17,
"28, 1.3, 0.39, 0.011, vwap, -0.02, -0.026, 0.7, 0.024",COMPLETED,0.8921,+657.39,+65.74%,248.27,21.96%,99,40.40%,1.805,+6.64,+0.66%,21.51,0.892,0.243,3.62%,-76.79,28,1.3,0.39,0.011,vwap,-0.02,-0.026,0.7,0.024,18,
