iteration,status,skip_reason,score,param_volatility_multiplier_enter,param_stoploss_ladder_step0,param_volatility_multiplier_exit,param_stoploss_ladder_step1,param_lookback_days,param_target_daily_volatility,param_exit_mode,param_stoploss_ladder_ratio0,param_takeprofit_ladder_step0,closed_trades,symbol,strategy,initial_capital,final_equity,open_pnl,total_pnl,total_pnl_pct,total_net_pnl,return_pct,winning_trades,losing_trades,breakeven_trades,win_rate_pct,gross_profit,gross_loss,profit_factor,commission_paid,average_trade,average_winning_trade,average_losing_trade,average_win_loss_ratio,average_bars_held,average_winning_bars_held,average_losing_bars_held,best_trade,worst_trade,max_drawdown,max_drawdown_pct,max_drawdown_period_bars,max_drawdown_period_days,buy_hold_pnl,buy_hold_return_pct,return_vs_buy_hold_pct_points,strategy_outperformance_pnl,cagr_pct,required_account_size,return_on_required_account_pct,net_profit_to_max_drawdown_pct,max_position_value,average_position_value,capital_efficiency_pct,exposure_bars,exposure_pct,bars,start,end,long_closed_trades,long_net_pnl,long_gross_profit,long_gross_loss,long_profit_factor,long_win_rate_pct,short_closed_trades,short_net_pnl,short_gross_profit,short_gross_loss,short_profit_factor,short_win_rate_pct,max_trade_runup,max_trade_runup_pct,max_trade_drawdown,max_trade_drawdown_pct,average_trade_runup,average_trade_drawdown,sharpe_ratio,sortino_ratio
1,COMPLETED,,-0.004519388174039246,2.0,-0.008,1.2,-0.028,20,0.01,time_only,0.5,0.012,10,SAP,noise_boundary_intraday,1000.0,990.5443374450007,0.0,-9.455662554999321,-0.9455662554999321,-9.45566255499936,-0.9455662554999321,3,7,0,30.0,126.76080268500058,-136.21646523999996,0.9305835565594847,0.0,-0.945566255499936,42.2536008950002,-19.45949503428571,2.171361631972131,40.9,26.333333333333332,47.142857142857146,57.99503814000009,-68.75141780500009,-126.09710083999983,-11.778579434925204,17130,320.38559310566825,172.0449438202246,17.20449438202246,-18.150060637522394,-181.50060637522392,-0.3166151712205356,1126.0971008399997,-0.8396844772929415,-7.498715269431387,7178.74478515,2277.2772766550243,-0.13171749153918116,409,0.6990616507426461,58507,2018-01-02 09:30:00,2020-12-31 15:55:00,3,-11.981013115000534,0.0,-11.981013115000534,0.0,0.0,7,2.5253505600011605,126.76080268500058,-124.23545212499943,1.0203271330107953,42.857142857142854,,,,,,,-0.004519388174039246,-0.00045027605206622443
2,COMPLETED,,-0.27444300698637486,2.4000000000000004,-0.009000000000000001,1.9200000000000004,-0.013000000000000001,6,0.018000000000000002,combined,0.8,0.01,32,SAP,noise_boundary_intraday,1000.0,842.6010781739075,0.0,-157.39892182609253,-15.739892182609253,-157.39892182609248,-15.739892182609253,10,10,12,31.25,404.0370110939026,-561.435932919995,0.7196493622923813,0.0,-4.91871630706539,40.40370110939026,-56.1435932919995,0.7196493622923814,13.0625,23.7,18.1,95.0586542999996,-122.40765033660364,-283.43963097999335,-27.9036439546773,54045,1010.8137407703351,172.0449438202246,17.20449438202246,-32.944386564631714,-329.44386564631714,-5.556136489682095,1283.4396309799934,-12.26383524606512,-55.53172690843734,31592.931040000003,12691.199455889071,-0.49820930393197366,418,0.7144444254533646,58507,2018-01-02 09:30:00,2020-12-31 15:55:00,5,23.825921944405167,137.66846891000293,-113.84254696559775,1.2092883774956755,40.0,27,-181.2248437704977,266.36854218389965,-447.5933859543974,0.5951127754399801,29.629629629629626,,,,,,,-0.27444300698637486,-0.03250577832909925
3,COMPLETED,,-0.24061653853841958,0.9,-0.017,0.63,-0.028,16,0.009000000000000001,time_only,0.5,0.025,170,SAP,noise_boundary_intraday,1000.0,639.4686490971924,0.0,-360.5313509028076,-36.05313509028076,-360.5313509028077,-36.05313509028076,76,91,3,44.70588235294118,2006.6326351070925,-2367.1639860099003,0.8476948141178335,0.0,-2.120772652369457,26.403060988251216,-26.01279105505385,1.0150030011147744,42.34117647058824,47.276315789473685,39.61538461538461,102.20353186999955,-129.13423530000168,-618.458358212807,-52.11426284463786,52704,985.7327670193309,172.0449438202246,17.20449438202246,-53.25762947230322,-532.5762947230322,-13.863863880037508,1618.458358212807,-22.276220396607957,-58.29516993587974,24958.030236912804,6090.916277300934,-1.4445505013035187,7198,12.30280137419454,58507,2018-01-02 09:30:00,2020-12-31 15:55:00,70,103.10249491739431,863.1522561366918,-760.0497612192974,1.1356522956496875,45.714285714285715,100,-463.63384582020194,1143.4803789704008,-1607.1142247906023,0.7115115785372317,44.0,,,,,,,-0.24061653853841958,-0.11483030573203044
4,COMPLETED,,-0.24311608620019218,1.0,-0.011,0.4,-0.012,20,0.007,ladder,0.30000000000000004,0.007,125,SAP,noise_boundary_intraday,1000.0,798.4665489007979,0.0,-201.53345109920213,-20.153345109920213,-201.53345109920215,-20.153345109920213,54,68,3,43.2,1076.6767536253997,-1278.2102047246017,0.8423315270412635,0.0,-1.6122676087936172,19.938458400470363,-18.797208893008847,1.060713774792702,40.064,43.44444444444444,39.01470588235294,59.88697824780053,-103.74809842999926,-491.149789885602,-40.37496200583486,50605,946.4747775313685,172.0449438202246,17.20449438202246,-37.35783949194267,-373.5783949194267,-7.237004542775816,1491.1497898856019,-13.515305602843789,-41.032991411060785,21288.63889778,4670.920251209886,-0.9466713774745752,5005,8.554531936349496,58507,2018-01-02 09:30:00,2020-12-31 15:55:00,48,81.58822900509497,398.2730619442984,-316.6848329392035,1.2576322593281821,45.83333333333333,77,-283.1216801042971,678.403691681101,-961.5253717853982,0.705549444235064,41.55844155844156,,,,,,,-0.24311608620019218,-0.09460837319522757
5,COMPLETED,,-0.1312945692255518,2.2,-0.012,1.7600000000000002,-0.022000000000000002,5,0.019,vwap,0.5,0.009000000000000001,68,SAP,noise_boundary_intraday,1000.0,785.7228852257062,0.0,-214.27711477429375,-21.427711477429376,-214.27711477429384,-21.427711477429376,17,20,31,25.0,748.6893744136097,-962.9664891879034,0.7774822725606998,0.0,-3.1511340407984387,44.04055143609469,-48.14832445939517,0.9146850265419998,13.264705882352942,28.41176470588235,20.95,192.97815172499926,-127.12091474880377,-522.0023639148044,-51.37325289512684,54045,1010.8137407703351,172.0449438202246,17.20449438202246,-38.63220585945184,-386.32205859451835,-7.7338284497884935,1522.0023639148044,-14.078632192340546,-41.04906981020221,55740.49293402001,13957.468829504398,-0.3844191242225531,902,1.5416958654519972,58507,2018-01-02 09:30:00,2020-12-31 15:55:00,29,96.81222714960788,295.058579090006,-198.2463519403981,1.4883430449137043,13.793103448275861,39,-311.08934192390166,453.6307953236037,-764.7201372475054,0.5931984437553577,33.33333333333333,,,,,,,-0.1312945692255518,-0.02355551873359599
6,COMPLETED,,-0.14402746217431098,3.0,-0.006,0.29999999999999993,-0.024,20,0.019,combined,0.4,0.012,2,SAP,noise_boundary_intraday,1000.0,983.8333688700001,0.0,-16.166631129999928,-1.6166631129999929,-16.166631129999928,-1.6166631129999929,0,2,0,0.0,0.0,-16.166631129999928,0.0,0.0,-8.083315564999964,,-8.083315564999964,,27.0,,27.0,-3.1368091299998904,-13.029822000000038,-64.75821748380008,-6.475821748380008,6362,118.98967561811216,172.0449438202246,17.20449438202246,-18.821157495022454,-188.21157495022453,-0.5425501927158294,1064.7582174838,-1.5183382353417616,-24.96460180369259,6487.564621320001,3992.34752132,-0.2491941440840795,52,0.0888782538841506,58507,2018-01-02 09:30:00,2020-12-31 15:55:00,0,0.0,0.0,0.0,,,2,-16.166631129999928,0.0,-16.166631129999928,0.0,0.0,,,,,,,-0.14402746217431098,-0.005880881964654009
7,COMPLETED,,0.07856549708907341,2.6,-0.014,1.8199999999999998,-0.025,8,0.017,vwap,0.1,0.026000000000000002,15,SAP,noise_boundary_intraday,1000.0,1004.7595942600141,0.0,4.759594260014069,0.4759594260014069,4.759594260014069,0.4759594260014069,5,6,4,33.33333333333333,267.40758188500456,-262.6479876249905,1.0181215713969598,0.0,0.3173062840009379,53.481516377000915,-43.77466460416508,1.2217458856763517,17.8,15.2,31.833333333333332,126.64245940000322,-139.52288687999004,-256.6013095999938,-21.217876962728653,24438,457.06848361449624,172.0449438202246,17.20449438202246,-16.728534956021054,-167.28534956021053,0.1586168887194983,1256.6013095999938,0.3787672528790505,1.854859691649128,41681.568077920005,9778.076674969978,0.011418942423462641,267,0.4563556497513118,58507,2018-01-02 09:30:00,2020-12-31 15:55:00,2,123.76828186000321,126.64245940000322,-2.8741775400000042,44.062156090748324,50.0,13,-119.00868759998914,140.76512248500134,-259.7738100849905,0.5418757281149592,30.76923076923077,,,,,,,0.07856549708907341,0.0069111470212155
8,COMPLETED,,-0.30151228230687177,2.3,-0.006999999999999999,0.6899999999999998,-0.009,14,0.006,time_only,0.30000000000000004,0.013000000000000001,8,SAP,noise_boundary_intraday,1000.0,965.8405724900007,0.0,-34.15942750999932,-3.415942750999932,-34.159427509999325,-3.415942750999932,2,5,1,25.0,43.68486774000049,-77.84429524999982,0.5611826479988666,0.0,-4.269928438749916,21.842433870000246,-15.568859049999963,1.4029566199971666,42.0,29.5,55.4,22.025346840000118,-55.973408400000075,-89.53353443999993,-8.584316625037033,14793,276.6762451145447,172.0449438202246,17.20449438202246,-20.620437133022392,-206.20437133022392,-1.1534162033417283,1089.53353444,-3.1352341557395595,-38.15266282477763,5048.7278169,1542.5661438070833,-0.676594753150582,336,0.5742902558668194,58507,2018-01-02 09:30:00,2020-12-31 15:55:00,1,-1.136271159999964,0.0,-1.136271159999964,0.0,0.0,7,-33.02315634999936,43.68486774000049,-76.70802408999985,0.5694954114415199,28.57142857142857,,,,,,,-0.30151228230687177,-0.02891141564364784
9,COMPLETED,,0.2585169330762896,2.3,-0.008,0.45999999999999985,-0.018000000000000002,8,0.016,ladder,0.5,0.016,6,SAP,noise_boundary_intraday,1000.0,1045.0095189375968,-4.862776847858181e-16,45.009518937596795,4.500951893759679,45.009518937596766,4.500951893759679,1,5,0,16.666666666666664,87.74223354000013,-42.73271460240336,2.053280124054308,0.0,7.501586489599461,87.74223354000013,-8.546542920480672,10.266400620271542,14.333333333333334,11.0,15.0,87.74223354000013,-28.102260800000398,-129.75511591999816,-12.846268850080437,33078,618.6640191914358,172.0449438202246,17.20449438202246,-12.70354248826278,-127.03542488262781,1.4803720819301258,1129.7551159199982,3.9840066491705155,34.68804957590099,35927.78184076,38.87676580687824,0.12527775618625459,33161,56.67868802023689,58507,2018-01-02 09:30:00,2020-12-31 15:55:00,4,-35.44736406000185,0.0,-35.44736406000185,0.0,0.0,2,80.45688299759863,87.74223354000013,-7.285350542401508,12.043652948383345,50.0,,,,,,,0.2585169330762896,0.014518425472320703
10,COMPLETED,,0.19142763220098724,0.5,-0.018000000000000002,0.45,-0.03,13,0.013000000000000001,time_only,0.30000000000000004,0.007,436,SAP,noise_boundary_intraday,1000.0,589.0417162535201,0.0,-410.9582837464799,-41.095828374647986,-410.9582837464794,-41.095828374647986,211,223,2,48.39449541284404,7505.5138915685075,-7916.472175314988,0.9480882046136758,0.0,-0.9425648709781638,35.57115588421094,-35.49987522562775,1.0020079129329371,51.227064220183486,52.81516587677725,50.14798206278027,238.55739324999877,-314.07900148000545,-1332.8005977988746,-80.2835223349002,51360,960.5956837073627,172.0449438202246,17.20449438202246,-58.30032275667045,-583.0032275667045,-16.193402908593,2332.8005977988746,-17.616519994646847,-30.834191132955567,58100.13368494501,7837.887356757775,-0.7073276043992435,22335,38.17491924043277,58507,2018-01-02 09:30:00,2020-12-31 15:55:00,216,217.8259971055063,3446.986502696701,-3229.160505591195,1.0674559213542798,48.148148148148145,220,-628.784280851986,4058.527388871807,-4687.311669723793,0.8658539638160997,48.63636363636364,,,,,,,0.19142763220098724,0.15514697547869283
11,COMPLETED,,-0.11363406478906529,1.7000000000000002,-0.004,0.16999999999999998,-0.01,28,0.014000000000000002,ladder,0.8,0.02,8,SAP,noise_boundary_intraday,1000.0,978.565380404798,-1.6555645743210322e-13,-21.43461959520198,-2.143461959520198,-21.434619595201834,-2.143461959520198,2,5,1,25.0,15.488290024798822,-36.92290962000066,0.41947642220506415,0.0,-2.6793274494002293,7.744145012399411,-7.384581924000132,1.0486910555126603,9.25,15.0,8.8,8.701557484799483,-23.306705489999718,-59.609642084799816,-5.883200170293098,53700,1004.3611412594504,172.0449438202246,17.20449438202246,-19.34795634154266,-193.47956341542658,-0.7206254616013208,1059.6096420847998,-2.0228788738680223,-35.958309504206134,24273.20222059,13.446117198073232,-0.0883056936633589,42884,73.29721229938298,58507,2018-01-02 09:30:00,2020-12-31 15:55:00,3,4.869266529998358,6.786732539999338,-1.917466010000981,3.5394278201551357,33.33333333333333,5,-26.303886125200194,8.701557484799483,-35.00544360999967,0.24857726648874096,20.0,,,,,,,-0.11363406478906529,-0.009176239240563842
12,COMPLETED,,-0.09593739680353071,0.5,-0.02,0.14999999999999997,-0.03,11,0.014000000000000002,ladder,0.1,0.02,445,SAP,noise_boundary_intraday,1000.0,211.24401218759374,0.0,-788.7559878124063,-78.87559878124063,-788.755987812406,-78.87559878124063,224,219,2,50.337078651685395,7123.374678470891,-7912.130666283298,0.9003105457833745,0.0,-1.7724853658705753,31.80077981460219,-36.128450530973964,0.880214328243567,50.93033707865168,52.504464285714285,49.78538812785388,230.47335193000052,-339.53149129959763,-1302.8225735286974,-88.60746763365573,39120,731.668674973365,172.0449438202246,17.20449438202246,-96.08009316326309,-960.8009316326309,-40.485446094463796,2302.8225735286974,-34.25170470705293,-60.5420879127124,66559.4496182,7643.088569308764,-1.185039828810016,22615,38.65349445365512,58507,2018-01-02 09:30:00,2020-12-31 15:55:00,225,-233.624527567502,3367.6497681999963,-3601.274295767498,0.9351272609692419,49.77777777777778,220,-555.1314602449039,3755.724910270895,-4310.856370515799,0.8712247840030722,50.90909090909091,,,,,,,-0.09593739680353071,-0.07593981763234148
