iteration,status,skip_reason,score,param_volatility_multiplier_enter,param_stoploss_ladder_step0,param_volatility_multiplier_exit,param_stoploss_ladder_step1,param_lookback_days,param_target_daily_volatility,param_exit_mode,param_stoploss_ladder_ratio0,param_takeprofit_ladder_step0,closed_trades,symbol,strategy,initial_capital,final_equity,open_pnl,total_pnl,total_pnl_pct,total_net_pnl,return_pct,winning_trades,losing_trades,breakeven_trades,win_rate_pct,gross_profit,gross_loss,profit_factor,commission_paid,average_trade,average_winning_trade,average_losing_trade,average_win_loss_ratio,average_bars_held,average_winning_bars_held,average_losing_bars_held,best_trade,worst_trade,max_drawdown,max_drawdown_pct,max_drawdown_period_bars,max_drawdown_period_days,buy_hold_pnl,buy_hold_return_pct,return_vs_buy_hold_pct_points,strategy_outperformance_pnl,cagr_pct,required_account_size,return_on_required_account_pct,net_profit_to_max_drawdown_pct,max_position_value,average_position_value,capital_efficiency_pct,exposure_bars,exposure_pct,bars,start,end,long_closed_trades,long_net_pnl,long_gross_profit,long_gross_loss,long_profit_factor,long_win_rate_pct,short_closed_trades,short_net_pnl,short_gross_profit,short_gross_loss,short_profit_factor,short_win_rate_pct,max_trade_runup,max_trade_runup_pct,max_trade_drawdown,max_trade_drawdown_pct,average_trade_runup,average_trade_drawdown,sharpe_ratio,sortino_ratio
1,COMPLETED,,-0.40795264182436297,2.0,-0.008,1.2,-0.028,20,0.01,time_only,0.5,0.012,9,SAP,noise_boundary_intraday,1000.0,895.232292979999,0.0,-104.76770702000101,-10.4767707020001,-104.76770702000104,-10.4767707020001,2,7,0,22.22222222222222,64.99630151500048,-169.76400853500152,0.3828626696311763,0.0,-11.640856335555672,32.49815075750024,-24.252001219285933,1.340019343709117,50.22222222222222,34.0,54.857142857142854,32.765614795000204,-64.98273817000009,-147.6593720300017,-14.388271756050866,25841,482.41854266778506,422.5809726875827,42.25809726875827,-52.73486797075837,-527.3486797075836,-3.6266684945220673,1147.6593720300016,-9.128815533017075,-70.9522907890426,8478.684494879999,2795.4907571815597,-1.2356599314819043,452,0.7711336688560949,58615,2019-01-02 09:30:00,2021-12-31 15:55:00,2,-11.324259644999891,0.0,-11.324259644999891,0.0,0.0,7,-93.44344737500117,64.99630151500048,-158.43974889000162,0.4102272439230184,28.57142857142857,,,,,,,-0.40795264182436297,-0.04089366833217376
2,COMPLETED,,-0.514195035018298,2.4000000000000004,-0.009000000000000001,1.9200000000000004,-0.013000000000000001,6,0.018000000000000002,combined,0.8,0.01,32,SAP,noise_boundary_intraday,1000.0,696.4080848294045,0.0,-303.5919151705955,-30.359191517059546,-303.59191517059554,-30.359191517059546,10,10,12,31.25,358.14568299919915,-661.7375981697946,0.5412200908483107,0.0,-9.48724734908111,35.81456829991991,-66.17375981697947,0.5412200908483106,15.6875,25.5,24.7,101.66243579999957,-150.63058581999653,-378.9167212305972,-35.86049046378078,44128,823.8135308557726,422.5809726875827,42.25809726875827,-72.61728878581782,-726.1728878581782,-11.376213940856882,1378.9167212305972,-22.016696911156362,-80.12101291931076,38546.22871814,14277.3625456533,-0.7876047158608904,502,0.8564360658534504,58615,2019-01-02 09:30:00,2021-12-31 15:55:00,5,32.35142751000091,147.23238099000312,-114.8809534800022,1.2816082782219635,40.0,27,-335.94334268059646,210.91330200919603,-546.8566446897923,0.38568298302169823,29.629629629629626,,,,,,,-0.514195035018298,-0.06248691354457088
3,COMPLETED,,-0.38594572132363403,0.9,-0.017,0.63,-0.028,16,0.009000000000000001,time_only,0.5,0.025,157,SAP,noise_boundary_intraday,1000.0,571.7317549356949,0.0,-428.2682450643051,-42.82682450643051,-428.26824506430523,-42.82682450643051,69,87,1,43.94904458598726,1267.6106223743966,-1695.878867438702,0.7474653094114428,0.0,-2.727823216970097,18.371168440208645,-19.492860545272436,0.9424562596926888,43.57324840764331,48.3768115942029,40.264367816091955,108.02332181000253,-142.28895864000185,-581.560788792007,-51.686711085409485,44128,823.8135308557726,422.5809726875827,42.25809726875827,-85.08492177518877,-850.8492177518879,-17.023627728787073,1581.5607887920069,-27.078835546461395,-73.64118305738693,27500.4698110356,5317.591117057535,-1.5573124677762649,6841,11.671073957178196,58615,2019-01-02 09:30:00,2021-12-31 15:55:00,72,-463.18867273510295,370.915431423597,-834.1041041586999,0.44468721538987316,41.66666666666667,85,34.92042767079782,896.6951909507995,-861.7747632800016,1.0405215250651891,45.88235294117647,,,,,,,-0.38594572132363403,-0.1765065665638215
4,COMPLETED,,-0.19324171093474646,1.0,-0.011,0.4,-0.012,20,0.007,ladder,0.30000000000000004,0.007,11,SAP,noise_boundary_intraday,1000.0,963.0782892387001,-2.6445512446571284e-15,-36.92171076129989,-3.6921710761299895,-36.92171076129983,-3.6921710761299895,4,7,0,36.36363636363637,43.06085523500236,-79.98256599630218,0.5383780164916587,0.0,-3.3565191601181663,10.76521380875059,-11.426080856614599,0.9421615288604026,30.363636363636363,43.25,23.0,15.814078995001752,-22.2481229523011,-77.18160138000258,-7.500817661920792,54908,1025.0623946752348,422.5809726875827,42.25809726875827,-45.95026834488826,-459.5026834488826,-1.24786695384288,1077.1816013800026,-3.42762174121788,-47.83745102607587,19420.6720336623,48.46063060747776,-0.19011551555632356,52959,90.35059285165913,58615,2019-01-02 09:30:00,2021-12-31 15:55:00,7,-30.062628037301305,23.53764203500192,-53.60027007230323,0.4391328999508993,28.57142857142857,4,-6.859082723998521,19.523213200000438,-26.38229592399896,0.74001191011738,50.0,,,,,,,-0.19324171093474646,-0.018857495398640664
5,COMPLETED,,0.17976373408595941,2.2,-0.012,1.7600000000000002,-0.022000000000000002,5,0.019,vwap,0.5,0.009000000000000001,60,SAP,noise_boundary_intraday,1000.0,1043.8936369055125,0.0,43.893636905512494,4.389363690551249,43.89363690551239,4.389363690551249,15,15,30,25.0,836.8274438126092,-792.9338069070967,1.0553559912859853,0.0,0.7315606150918731,55.78849625417395,-52.862253793806445,1.0553559912859856,12.55,27.466666666666665,22.733333333333334,265.733053314999,-175.04690867100518,-381.37084934449354,-27.59633309418379,44128,823.8135308557726,422.5809726875827,42.25809726875827,-37.86873357820702,-378.6873357820702,1.4441893453587928,1381.3708493444935,3.1775418546251712,11.509436806970823,76755.27675276,17324.919256208745,0.05718647467965001,753,1.2846540987801758,58615,2019-01-02 09:30:00,2021-12-31 15:55:00,27,39.16720894001253,267.9178772600069,-228.75066831999436,1.1712222710764821,11.11111111111111,33,4.7264279654999655,568.9095665526022,-564.1831385871025,1.0083774711476423,36.36363636363637,,,,,,,0.17976373408595941,0.030522866105660646
6,COMPLETED,,-0.1438947132700593,3.0,-0.006,0.29999999999999993,-0.024,20,0.019,combined,0.4,0.012,2,SAP,noise_boundary_intraday,1000.0,983.8333688700001,0.0,-16.166631129999928,-1.6166631129999929,-16.166631129999928,-1.6166631129999929,0,2,0,0.0,0.0,-16.166631129999928,0.0,0.0,-8.083315564999964,,-8.083315564999964,,27.0,,27.0,-3.1368091299998904,-13.029822000000038,-64.75821748380008,-6.475821748380008,25912,483.7440221975793,422.5809726875827,42.25809726875827,-43.874760381758264,-438.7476038175826,-0.5425501927158294,1064.7582174838,-1.5183382353417616,-24.96460180369259,6487.564621320001,3992.34752132,-0.2491941440840795,52,0.08871449287724986,58615,2019-01-02 09:30:00,2021-12-31 15:55:00,0,0.0,0.0,0.0,,,2,-16.166631129999928,0.0,-16.166631129999928,0.0,0.0,,,,,,,-0.1438947132700593,-0.005870046067902675
7,COMPLETED,,-0.00868988567467152,2.6,-0.014,1.8199999999999998,-0.025,8,0.017,vwap,0.1,0.026000000000000002,14,SAP,noise_boundary_intraday,1000.0,971.9828173336072,0.0,-28.01718266639284,-2.801718266639284,-28.01718266639282,-2.801718266639284,4,6,4,28.57142857142857,226.0628297286038,-254.08001239499657,0.8897308670512939,0.0,-2.0012273333137727,56.51570743215095,-42.34666873249943,1.3345963005769408,18.785714285714285,18.0,31.833333333333332,122.51119060000312,-134.97143906999528,-248.23058639499413,-21.217876934443787,43988,821.1999092477276,422.5809726875827,42.25809726875827,-45.059815535397554,-450.5981553539755,-0.9440375587552952,1248.2305863949941,-2.2445518457698643,-11.286756830929285,40321.852220630004,9419.716514944506,-0.06948386823375712,263,0.4486906082060905,58615,2019-01-02 09:30:00,2021-12-31 15:55:00,2,119.73077296000311,122.51119060000312,-2.780417640000004,44.062154130198564,50.0,12,-147.7479556263959,103.55163912860064,-251.29959475499658,0.4120644891192835,25.0,,,,,,,-0.00868988567467152,-0.0007446262329028803
8,COMPLETED,,-0.5236136470423916,2.3,-0.006999999999999999,0.6899999999999998,-0.009,14,0.006,time_only,0.30000000000000004,0.013000000000000001,7,SAP,noise_boundary_intraday,1000.0,945.3644279200008,0.0,-54.63557207999918,-5.463557207999918,-54.635572079999136,-5.463557207999918,1,5,1,14.285714285714285,21.558402340000118,-76.19397441999926,0.2829410396833362,0.0,-7.805081725714162,21.558402340000118,-15.238794883999853,1.4147051984166812,47.285714285714285,54.0,55.4,21.558402340000118,-54.78675726000007,-87.63539745999924,-8.584316984791212,25861,482.7919171832201,422.5809726875827,42.25809726875827,-47.72165447675819,-477.21654476758187,-1.8578882475627112,1087.6353974599992,-5.023335228661363,-62.344182446296635,4941.6930583,1465.6766518578852,-1.105604322960407,331,0.5647018681224942,58615,2019-01-02 09:30:00,2021-12-31 15:55:00,1,-1.1121821599999646,0.0,-1.1121821599999646,0.0,0.0,6,-53.52338991999917,21.558402340000118,-75.08179225999929,0.28713222861470783,16.666666666666664,,,,,,,-0.5236136470423916,-0.04827084500337035
9,COMPLETED,,-0.18799099707512504,2.3,-0.008,0.45999999999999985,-0.018000000000000002,8,0.016,ladder,0.5,0.016,13,SAP,noise_boundary_intraday,1000.0,890.4796495100021,0.0,-109.5203504899979,-10.95203504899979,-109.5203504899979,-10.95203504899979,4,9,0,30.76923076923077,184.49990800000262,-294.0202584900005,0.6275074681844666,0.0,-8.424642345384454,46.124977000000655,-32.66891761000006,1.4118918034150496,38.38461538461539,41.25,37.111111111111114,84.10431016000166,-65.71789455000071,-289.2870528649994,-24.91912003868463,43988,821.1999092477276,422.5809726875827,42.25809726875827,-53.21013231775806,-532.1013231775805,-3.7977459373799927,1289.2870528649994,-8.494644404178759,-37.85871140977311,27433.27593589,8619.080754838957,-0.39922447011410783,498,0.849611874093662,58615,2019-01-02 09:30:00,2021-12-31 15:55:00,4,20.74275852000205,84.10431016000166,-63.361551639999604,1.327371378748044,25.0,9,-130.26310900999994,100.39559784000096,-230.65870685000087,0.435256050859979,33.33333333333333,,,,,,,-0.18799099707512504,-0.02296891217848266
10,COMPLETED,,0.12201677598051462,0.5,-0.018000000000000002,0.45,-0.03,13,0.013000000000000001,time_only,0.30000000000000004,0.007,418,SAP,noise_boundary_intraday,1000.0,538.0632538306023,0.0,-461.9367461693977,-46.19367461693977,-461.9367461693977,-46.19367461693977,207,209,2,49.52153110047847,3497.5785547718,-3959.515300941198,0.8833350268757408,0.0,-1.1051118329411427,16.896514757351692,-18.94504928679999,0.8918696648165694,51.588516746411486,52.52173913043478,51.15311004784689,79.9958592000002,-240.3827492316002,-828.2316837838919,-82.7806824993757,57222,1068.2618261110638,422.5809726875827,42.25809726875827,-88.45177188569804,-884.5177188569803,-18.687706323979224,1828.2316837838919,-25.266860336504344,-55.773855940764705,31942.091739199997,4076.3668250266446,-1.4461693678078675,21564,36.78921777701953,58615,2019-01-02 09:30:00,2021-12-31 15:55:00,213,-54.18377428379395,1702.616958413802,-1756.8007326975958,0.9691577005431949,49.29577464788733,205,-407.7529718856038,1794.9615963579981,-2202.714568243602,0.8148861510410141,49.75609756097561,,,,,,,0.12201677598051462,0.09653823691576431
