id,direction,closeType,closeDateTime,closeSignal,closePrice,entryType,entryDateTime,entrySignal,entryPrice,contracts,posUsd,netPnl,netPnlPct,maxRunup,maxRunupPct,maxDrawdown,maxDrawdownPct,cumPnl,cumPnlPct
202,Long,Exit,"Apr 24, 2026, 20:40",Open,230.20,Entry,"Apr 24, 2026, 11:40",BUY,229.80,1,229.8EUR,+0.4,+0.17%,0.5,0.22%,-0.7,-0.30%,6.3,0.63%
201,Long,Exit,"Apr 22, 2026, 14:40",Exit Long,236.80,Entry,"Apr 21, 2026, 15:05",BUY,231.30,1,231.3EUR,+5.5,+2.38%,7.9,3.42%,0,0.00%,5.9,0.59%
200,Long,Exit,"Apr 20, 2026, 06:40",Exit Long,238.00,Entry,"Apr 17, 2026, 07:40",BUY,240.80,1,240.8EUR,-2.8,-1.16%,2.8,1.16%,-2.8,-1.16%,0.4,0.04%
199,Long,Exit,"Apr 16, 2026, 13:45",Exit Long,244.00,Entry,"Apr 16, 2026, 12:40",BUY,247.10,1,247.1EUR,-3.1,-1.25%,0,0.00%,-3.5,-1.42%,3.2,0.32%
198,Long,Exit,"Apr 16, 2026, 09:10",Exit Long,246.40,Entry,"Apr 16, 2026, 07:40",BUY,247.90,1,247.9EUR,-1.5,-0.61%,0,0.00%,-1.5,-0.61%,6.3,0.63%
197,Long,Exit,"Apr 15, 2026, 11:10",Exit Long,250.00,Entry,"Apr 15, 2026, 09:10",BUY,250.40,1,250.4EUR,-0.4,-0.16%,0,0.00%,-0.7,-0.28%,7.8,0.78%
196,Long,Exit,"Apr 15, 2026, 08:40",Exit Long,250.40,Entry,"Apr 15, 2026, 07:35",BUY,248.90,1,248.9EUR,+1.5,+0.60%,1.5,0.60%,-0.1,-0.04%,8.2,0.82%
195,Long,Exit,"Apr 14, 2026, 20:40",Exit Long,247.60,Entry,"Apr 14, 2026, 09:10",BUY,243.70,1,243.7EUR,+3.9,+1.60%,3.9,1.60%,-0.8,-0.33%,6.7,0.67%
194,Long,Exit,"Apr 14, 2026, 08:40",Exit Long,242.40,Entry,"Apr 14, 2026, 07:10",BUY,242.40,1,242.4EUR,0,0.00%,0,0.00%,-1.8,-0.74%,2.8,0.28%
193,Long,Exit,"Apr 14, 2026, 06:40",Exit Long,242.90,Entry,"Apr 13, 2026, 12:30",BUY,239.30,1,239.3EUR,+3.6,+1.50%,3.6,1.50%,0,0.00%,2.8,0.28%
192,Long,Exit,"Apr 13, 2026, 06:40",Exit Long,236.60,Entry,"Apr 10, 2026, 20:40",BUY,240.80,1,240.8EUR,-4.2,-1.74%,0,0.00%,-4.6,-1.91%,-0.8,-0.08%
191,Long,Exit,"Apr 10, 2026, 12:40",Exit Long,242.60,Entry,"Apr 10, 2026, 07:10",BUY,241.70,1,241.7EUR,+0.9,+0.37%,2.3,0.95%,-0.5,-0.21%,3.4,0.34%
190,Long,Exit,"Apr 10, 2026, 06:40",Exit Long,241.00,Entry,"Apr 09, 2026, 14:40",BUY,240.90,1,240.9EUR,+0.1,+0.04%,1.5,0.62%,-0.1,-0.04%,2.5,0.25%
189,Long,Exit,"Apr 08, 2026, 14:40",Exit Long,240.00,Entry,"Apr 07, 2026, 20:10",BUY,236.30,1,236.3EUR,+3.7,+1.57%,7.7,3.26%,0,0.00%,2.4,0.24%
